Process	PID	I/O Read Bytes	I/O Write Bytes	I/O Other Bytes
msedge.exe	7004	8.3  GB	3.2  GB	12.9  MB
brave.exe	8508	279.9  MB	295.7  MB	6.0  MB
procexp64.exe	21500	262.6  MB	88.7  KB	5.2  MB
brave.exe	14284	101.2  MB	2.3  MB	49.8  KB
msedgewebview2.exe	5388	76.3  MB	2.2  MB	21.7  KB
OneDrive.exe	12820	51.2  MB	11.8  MB	16.3  MB
msedgewebview2.exe	8616	48.6  MB	28.2  MB	4.2  MB
msedgewebview2.exe	1500	47.0  MB	99.0  MB	11.9  KB
brave.exe	2576	45.3  MB	55.0  MB	3.2  MB
explorer.exe	6332	35.7  MB	28.4  MB	3.3  MB
msedgewebview2.exe	7992	34.6  MB	21.1  MB	1.0  MB
brave.exe	4988	30.4  MB	94.2  MB	15.7  KB
msedgewebview2.exe	20308	22.7  MB	19.0  MB	7.5  KB
msedgewebview2.exe	9860	22.6  MB	27.2  MB	12.7  KB
svchost.exe	6744	17.9  MB	402.7  MB	38.1  KB
msedge.exe	19292	13.6  MB	84.8  MB	10.8  KB
svchost.exe	3596	13.1  MB	292.0  KB	11.9  KB
msedge.exe	20060	11.0  MB	5.7  MB	2.9  MB
msedgewebview2.exe	9572	10.8  MB	20.1  MB	7.7  KB
msedgewebview2.exe	8256	9.7  MB	9.2  MB	338.1  KB
StartMenuExperienceHost.exe	8100	8.4  MB	284.1  KB	240.9  KB
svchost.exe	6612	8.0  MB	29.4  MB	1.1  MB
SearchHost.exe	8080	7.7  MB	3.7  MB	1.1  MB
msedgewebview2.exe	9220	7.6  MB	14.4  MB	2.3  MB
msedgewebview2.exe	7080	7.5  MB	1.9  MB	22.6  KB
backgroundTaskHost.exe	19988	7.3  MB	8.2  KB	262.8  KB
taskhostw.exe	6800	5.5  MB	34.2  MB	207.1  KB
sihost.exe	6620	5.1  MB		4.2  MB
ctfmon.exe	10220	4.4  MB	17.1  KB	534.3  KB
Widgets.exe	18276	3.1  MB	19.1  MB	839.1  KB
OneDrive.Sync.Service.exe	11636	2.9  MB	1.2  MB	1015.7  KB
msedge.exe	18184	2.5  MB	7.9  MB	20.1  KB
brave.exe	20448	2.2  MB	1.6  MB	14.1  KB
brave.exe	20544	1.8  MB	2.0  MB	50.1  KB
WindowsPackageManagerServer.exe	14784	1.3  MB	25.8  KB	272.0  KB
PhoneExperienceHost.exe	15012	1.1  MB	93 B	150.0  KB
RuntimeBroker.exe	2232	939.6  KB	248 B	208.3  KB
msedge.exe	416	372.2  KB	1.0  MB	10.6  KB
brave.exe	11400	316.0  KB	155.0  KB	15.6  KB
msedge.exe	18424	174.0  KB	444.0  KB	7.3  KB
RuntimeBroker.exe	20772	94.8  KB	160 B	39.0  KB
vmtoolsd.exe	10396	82.5  KB	225.1  KB	6.1  KB
brave.exe	20692	70.8  KB	77.0  KB	9.5  KB
CrossDeviceResume.exe	2496	66.3  KB		15.0  KB
svchost.exe	7056	48.3  KB		7.7  KB
msedge.exe	16028	42.1  KB	12.0  KB	7.4  KB
AppActions.exe	12072	36.5  KB	1.9  KB	5.5  KB
ShellExperienceHost.exe	7976	29.9  KB		5.9  KB
ApplicationFrameHost.exe	13980	26.1  KB		10.0  KB
taskhostw.exe	8500	19.1  KB	17.9  KB	29.4  KB
RuntimeBroker.exe	17224	19.0  KB		2.0  KB
WidgetService.exe	8312	17.7  KB	3.3  KB	27.0  KB
MoNotificationUx.exe	13964	10.5  KB		2.9  KB
brave.exe	10836	8.9  KB	792 B	6.0  KB
SecurityHealthSystray.exe	10316	8.5  KB		2.5  KB
audiodg.exe	17412	7.6  KB		74.0  KB
msedgewebview2.exe	19760	7.6  KB	84 B	5.3  KB
svchost.exe	14160	7.3  KB		7.5  KB
UserOOBEBroker.exe	15184	6.9  KB		908 B
msedgewebview2.exe	8700	6.2  KB	84 B	13.6  KB
svchost.exe	19340	5.8  KB		372 B
backgroundTaskHost.exe	6448	4.2  KB	426 B	189.0  KB
xampp-control.exe	7456			
WWAHost.exe	10288			
WmiPrvSE.exe	1220			
winlogon.exe	1044			
winlogon.exe	15024			
wininit.exe	740			
WindowsTerminal.exe	13104			
