Process Name	Instances	CPU	Memory	Threads	Handles	Data	Status
System	1	0.06	0.14	272	3,216	0.00	Normal
smss	1	0.00	0.89	2	57	0.00	Normal
csrss	2	0.00	18.88	23	1,060	0.00	Normal
wininit	1	0.00	6.27	1	148	0.00	Normal
services	1	0.00	8.58	7	616	0.00	Normal
winlogon	1	0.00	9.99	3	272	0.00	Normal
lsass	1	0.00	22.90	10	1,504	0.00	Normal
svchost	72	0.05	892.42	400	22,044	0.01	Normal
fontdrvhost	2	0.00	9.10	10	74	0.00	Normal
dwm	1	0.03	70.07	16	1,114	0.00	Normal
Memory Compression	1	0.04	210.51	56	0	0.00	Normal
spoolsv	1	0.00	17.19	10	511	0.00	Normal
vmtoolsd	2	0.01	33.43	19	664	0.00	Normal
vm3dservice	2	0.00	12.24	7	242	0.00	Normal
VGAuthService	1	0.00	7.43	2	170	0.00	Normal
dllhost	4	0.00	48.12	25	930	0.00	Normal
msdtc	1	0.00	8.54	9	237	0.00	Normal
AggregatorHost	1	0.00	4.93	2	93	0.00	Normal
sihost	1	0.01	34.95	10	640	0.00	Normal
MicrosoftEdgeUpdate	1	0.00	4.01	4	208	0.00	Normal
ctfmon	1	0.00	19.58	12	436	0.00	Normal
taskhostw	1	0.00	20.18	8	341	0.00	Normal
explorer	1	0.00	180.83	67	3,331	0.00	Normal
Widgets	1	0.00	8.75	1	142	0.00	Normal
SearchHost	1	0.00	101.32	68	1,606	0.00	Normal
StartMenuExperienceHost	1	0.00	79.73	9	936	0.00	Normal
RuntimeBroker	9	0.00	157.80	30	2,192	0.00	Normal
SearchIndexer	1	0.00	25.91	13	761	0.00	Normal
msteams	1	0.00	9.51	55	880	0.00	Normal
msedgewebview2	6	0.02	43.37	141	2,436	0.00	Normal
ShellExperienceHost	1	0.00	41.13	25	799	0.00	Normal
SystemSettingsBroker	1	0.00	16.98	1	239	0.00	Normal
SecurityHealthSystray	1	0.00	9.64	1	176	0.00	Normal
SecurityHealthService	1	0.00	17.94	11	561	0.00	Normal
msedge	7	0.01	312.11	168	2,882	0.18	Normal
OneDrive	1	0.01	54.05	21	711	0.00	Normal
ApplicationFrameHost	1	0.00	39.18	4	460	0.00	Normal
MoUsoCoreWorker	1	0.00	18.39	8	253	0.00	Normal
MoNotificationUx	1	0.00	13.66	4	350	0.00	Normal
Microsoft.Photos	1	0.00	1.36	15	525	0.00	Normal
SgrmBroker	1	0.00	8.45	6	107	0.00	Normal
brave	8	0.76	531.09	168	3,462	0.08	Normal
MsMpEng	1	0.09	228.81	65	819	0.02	Normal
MpDefenderCoreService	1	0.00	23.50	10	501	0.00	Normal
NisSrv	1	0.00	11.60	4	203	0.00	Normal
SystemSettings	1	0.00	29.50	20	1,084	0.00	Normal
WinStore.App	1	0.00	20.78	13	633	0.00	Normal
