Process Name	Instances	CPU	Memory	Threads	Handles	Data	Status
System	1	0.06	0.14	274	3,253	0.00	Normal
smss	1	0.00	0.89	2	57	0.00	Normal
csrss	2	0.00	19.81	23	1,069	0.00	Normal
wininit	1	0.00	6.25	1	148	0.00	Normal
services	1	0.00	8.55	7	624	0.00	Normal
winlogon	1	0.00	10.02	3	273	0.00	Normal
lsass	1	0.00	22.75	10	1,512	0.00	Normal
svchost	69	0.08	902.19	418	22,445	0.09	Normal
fontdrvhost	2	0.00	8.72	10	74	0.00	Normal
dwm	1	0.05	68.52	17	1,094	0.00	Normal
Memory Compression	1	0.05	215.42	64	0	0.00	Normal
spoolsv	1	0.00	17.14	10	511	0.00	Normal
vmtoolsd	2	0.01	33.42	19	664	0.00	Normal
vm3dservice	2	0.00	12.28	7	243	0.00	Normal
VGAuthService	1	0.00	7.43	2	170	0.00	Normal
dllhost	4	0.00	48.10	24	934	0.00	Normal
msdtc	1	0.00	8.50	9	237	0.00	Normal
AggregatorHost	1	0.00	4.93	2	93	0.00	Normal
sihost	1	0.01	34.97	12	648	0.00	Normal
MicrosoftEdgeUpdate	1	0.00	3.99	4	208	0.00	Normal
ctfmon	1	0.00	19.55	12	436	0.00	Normal
taskhostw	1	0.00	19.38	9	338	0.00	Normal
explorer	1	0.03	179.02	70	3,335	0.00	Normal
Widgets	1	0.00	8.69	1	142	0.00	Normal
SearchHost	1	0.00	101.39	68	1,606	0.00	Normal
StartMenuExperienceHost	1	0.00	75.90	10	937	0.00	Normal
RuntimeBroker	7	0.01	163.06	34	2,276	0.00	Normal
SearchIndexer	1	0.00	25.22	13	760	0.00	Normal
msteams	1	0.00	8.94	56	880	0.00	Normal
msedgewebview2	6	0.02	45.55	141	2,433	0.00	Normal
ShellExperienceHost	1	0.00	41.17	25	799	0.00	Normal
SystemSettingsBroker	1	0.00	17.00	2	239	0.00	Normal
SecurityHealthSystray	1	0.00	9.63	1	176	0.00	Normal
SecurityHealthService	1	0.00	18.00	11	552	0.00	Normal
msedge	7	0.01	308.07	169	2,890	0.20	Normal
OneDrive	1	0.00	54.24	21	711	0.00	Normal
ApplicationFrameHost	1	0.00	38.44	4	458	0.00	Normal
MoUsoCoreWorker	1	0.00	18.42	9	260	0.00	Normal
MoNotificationUx	1	0.00	13.68	4	338	0.00	Normal
Microsoft.Photos	1	0.00	1.39	15	525	0.00	Normal
SgrmBroker	1	0.00	7.87	6	107	0.00	Normal
brave	8	0.76	518.26	169	3,463	0.10	Normal
MsMpEng	1	0.09	203.84	64	828	0.01	Normal
MpDefenderCoreService	1	0.00	22.48	10	498	0.00	Normal
NisSrv	1	0.00	11.59	4	203	0.00	Normal
SystemSettings	1	0.00	12.40	20	1,084	0.00	Normal
WinStore.App	1	0.00	9.46	13	633	0.00	Normal
backgroundTaskHost	1	0.00	12.19	7	149	0.00	Normal
