Process Name	Instances	CPU	Memory	Threads	Handles	Data	Status
System	1	0.06	0.14	300	4,349	0.01	Normal
smss	1	0.00	1.05	2	60	0.00	Normal
csrss	3	0.00	26.11	36	1,446	0.00	Normal
wininit	1	0.00	6.38	1	148	0.00	Normal
services	1	0.01	9.30	7	685	0.00	Normal
lsass	1	0.00	24.74	10	1,849	0.00	Normal
svchost	81	0.44	1144.01	506	28,936	2.78	Normal
fontdrvhost	3	0.00	14.26	15	111	0.00	Normal
Memory Compression	1	0.04	94.19	75	0	0.00	Normal
spoolsv	1	0.00	17.52	11	514	0.00	Normal
vmtoolsd	2	0.00	38.14	18	666	0.00	Normal
vm3dservice	3	0.00	20.75	11	376	0.00	Normal
VGAuthService	1	0.00	7.12	2	170	0.00	Normal
dllhost	5	0.00	68.21	33	1,247	0.00	Normal
msdtc	1	0.00	7.73	9	237	0.00	Normal
AggregatorHost	1	0.00	7.36	3	226	0.00	Normal
SearchIndexer	1	0.05	41.97	16	917	0.02	Normal
SecurityHealthService	1	0.00	16.12	14	610	0.00	Normal
SgrmBroker	1	0.00	7.95	6	107	0.00	Normal
MsMpEng	1	0.07	228.10	64	1,011	0.00	Normal
MpDefenderCoreService	1	0.00	19.75	10	506	0.00	Normal
NisSrv	1	0.00	11.19	6	210	0.00	Normal
uhssvc	1	0.00	5.79	3	275	0.00	Normal
winlogon	2	0.00	20.35	8	518	0.00	Normal
dwm	2	0.02	167.16	31	1,999	0.00	Normal
sihost	2	0.01	68.52	20	1,192	0.00	Normal
explorer	2	0.06	329.22	109	5,604	0.00	Normal
taskhostw	3	0.00	40.42	17	689	0.00	Normal
Widgets	2	0.00	17.61	2	284	0.00	Normal
SearchHost	2	0.00	297.67	115	3,043	0.00	Normal
StartMenuExperienceHost	2	0.01	146.81	30	1,799	0.00	Normal
RuntimeBroker	9	0.02	201.65	38	2,597	0.00	Normal
ctfmon	2	0.00	39.67	23	829	0.00	Normal
SystemSettings	1	0.00	47.53	15	992	0.00	Normal
ApplicationFrameHost	1	0.00	35.31	4	471	0.00	Normal
SecurityHealthSystray	2	0.00	19.36	2	349	0.00	Normal
msedge	16	0.03	513.22	318	5,721	0.24	Normal
OneDrive	2	0.00	124.41	48	1,509	0.00	Normal
msteams	2	0.00	20.88	107	1,676	0.00	Normal
msedgewebview2	12	0.01	91.11	280	4,879	0.00	Normal
WinStore.App	1	0.00	1.51	13	600	0.00	Normal
ShellExperienceHost	1	0.00	44.39	16	605	0.00	Normal
MoUsoCoreWorker	1	0.00	43.51	8	300	0.00	Normal
MoNotificationUx	2	0.00	31.68	9	723	0.00	Normal
LogonUI	1	0.00	30.13	5	320	0.00	Normal
SearchProtocolHost	1	0.03	13.74	7	445	0.00	Normal
MicrosoftEdgeUpdate	1	0.00	3.49	4	209	0.00	Normal
brave	6	0.01	391.75	131	2,757	0.00	Normal
SearchFilterHost	2	0.00	20.59	6	391	0.00	Normal
TrustedInstaller	1	0.00	7.94	7	138	0.00	Normal
TiWorker	1	0.66	206.47	8	20,200	0.01	Normal
smartscreen	1	0.00	8.81	6	151	0.00	Normal
HxTsr	1	0.06	43.45	23	630	0.10	Normal
