Process Name	Instances	CPU	Memory	Threads	Handles	Data	Status
System	1	0.12	0.13	319	5,588	0.01	Normal
smss	1	0.00	0.94	2	63	0.00	Normal
csrss	4	0.00	29.68	46	1,913	0.00	Normal
wininit	1	0.00	6.25	1	148	0.00	Normal
services	1	0.01	8.48	8	712	0.00	Normal
lsass	1	0.01	24.95	10	2,073	0.00	Normal
svchost	84	0.44	894.10	532	31,488	0.79	Warning
fontdrvhost	4	0.00	15.83	20	148	0.00	Normal
Memory Compression	1	0.07	119.73	116	0	0.00	Normal
spoolsv	1	0.00	3.79	11	515	0.00	Normal
vmtoolsd	2	0.01	19.53	18	667	0.00	Normal
vm3dservice	4	0.00	19.03	15	505	0.00	Normal
VGAuthService	1	0.00	7.46	2	170	0.00	Normal
dllhost	7	0.00	65.94	44	1,705	0.00	Normal
msdtc	1	0.00	8.06	9	237	0.00	Normal
AggregatorHost	1	0.00	6.92	3	137	0.00	Normal
SearchIndexer	1	0.05	43.32	16	963	0.01	Normal
SecurityHealthService	1	0.00	12.98	18	684	0.00	Normal
SgrmBroker	1	0.00	6.53	6	107	0.00	Normal
MsMpEng	1	0.10	218.44	65	1,061	0.00	Normal
MpDefenderCoreService	1	0.00	14.30	10	504	0.00	Normal
NisSrv	1	0.00	7.68	5	209	0.00	Normal
uhssvc	1	0.00	6.98	4	288	0.00	Normal
winlogon	3	0.00	23.48	11	776	0.00	Normal
dwm	3	0.07	99.65	45	2,946	0.00	Normal
sihost	3	0.01	99.42	30	1,755	0.00	Normal
explorer	3	0.09	465.76	201	9,061	0.00	Normal
taskhostw	3	0.00	41.49	22	917	0.00	Normal
Widgets	3	0.00	16.37	3	426	0.00	Normal
SearchHost	3	0.00	215.22	162	4,415	0.00	Normal
StartMenuExperienceHost	3	0.01	189.60	43	2,731	0.00	Normal
RuntimeBroker	12	0.02	156.28	53	3,960	0.00	Normal
ctfmon	3	0.00	29.05	34	1,253	0.00	Normal
SystemSettings	1	0.00	0.38	15	992	0.00	Normal
ApplicationFrameHost	1	0.00	2.68	3	471	0.00	Normal
SecurityHealthSystray	3	0.00	19.29	4	523	0.00	Normal
msedge	21	0.04	421.02	431	7,737	0.20	Normal
OneDrive	3	0.00	119.02	76	2,274	0.00	Normal
msteams	3	0.00	37.00	162	2,501	0.00	Normal
msedgewebview2	18	0.04	125.48	427	7,340	0.00	Normal
WinStore.App	1	0.00	1.10	13	600	0.00	Normal
ShellExperienceHost	1	0.00	0.01	16	605	0.00	Normal
MoUsoCoreWorker	1	0.00	34.77	9	440	0.00	Normal
MoNotificationUx	3	0.00	29.99	13	924	0.00	Normal
LogonUI	2	0.00	21.38	11	640	0.00	Normal
SearchProtocolHost	1	0.04	16.68	7	445	0.00	Normal
brave	14	1.60	896.32	318	6,413	0.20	Normal
SearchFilterHost	2	0.00	12.31	7	395	0.00	Normal
WindowsPackageManagerServer	1	0.00	7.08	4	403	0.00	Normal
MicrosoftEdgeUpdate	1	0.00	3.39	4	209	0.00	Normal
backgroundTaskHost	1	0.02	9.79	21	747	0.00	Normal
