Process Name	Instances	CPU	Memory	Threads	Handles	Data	Status
System	1	0.03	0.14	289	0	0.01	Normal
smss	1	0.00	0.23	2	60	0.00	Normal
csrss	3	0.00	23.86	35	0	0.00	Normal
wininit	1	0.00	0.73	1	148	0.00	Normal
winlogon	2	0.00	7.53	7	539	0.00	Normal
services	1	0.02	6.10	7	682	0.00	Normal
lsass	1	0.00	18.04	9	0	0.00	Normal
svchost	80	0.06	612.12	457	0	0.02	Normal
fontdrvhost	3	0.00	9.28	15	111	0.00	Normal
dwm	2	0.02	73.24	30	0	0.00	Normal
Memory Compression	1	0.02	161.28	129	0	0.00	Normal
spoolsv	1	0.00	3.94	10	435	0.00	Normal
vmtoolsd	2	0.00	20.07	18	670	0.00	Normal
VGAuthService	1	0.00	0.24	2	170	0.00	Normal
vm3dservice	3	0.00	4.03	11	391	0.00	Normal
MsMpEng	1	0.05	234.97	64	0	0.00	Normal
MpDefenderCoreService	1	0.00	9.31	9	499	0.00	Normal
dllhost	6	0.00	46.05	39	0	0.00	Normal
msdtc	1	0.00	0.35	9	237	0.00	Normal
AggregatorHost	1	0.00	5.41	2	136	0.00	Normal
NisSrv	1	0.00	4.10	3	213	0.00	Normal
SgrmBroker	1	0.00	4.75	6	107	0.00	Normal
uhssvc	1	0.00	11.68	3	273	0.00	Normal
SearchIndexer	1	0.02	45.57	16	0	0.01	Normal
SecurityHealthService	1	0.00	13.19	12	691	0.00	Normal
sihost	2	0.00	47.56	25	0	0.00	Normal
taskhostw	2	0.00	15.70	13	589	0.00	Normal
explorer	2	0.34	279.93	154	0	2.13	Normal
ctfmon	2	0.01	11.72	23	886	0.00	Normal
Widgets	2	0.00	27.28	34	0	0.00	Normal
WidgetService	2	0.00	12.32	9	600	0.00	Normal
SearchHost	2	0.00	127.19	120	0	0.00	Normal
StartMenuExperienceHost	2	0.00	96.54	32	0	0.00	Normal
RuntimeBroker	13	0.00	183.14	60	0	0.00	Normal
PhoneExperienceHost	1	0.00	16.27	17	0	0.00	Normal
SecurityHealthSystray	2	0.00	6.82	2	364	0.00	Normal
msteams	1	0.00	17.53	53	831	0.00	Normal
msedgewebview2	6	0.01	29.37	141	0	0.00	Normal
WindowsPackageManagerServer	1	0.00	5.31	4	403	0.00	Normal
OneDrive	1	0.00	17.35	23	899	-0.00	Normal
OneDrive.Sync.Service	2	0.00	28.31	31	0	0.00	Normal
MoUsoCoreWorker	1	0.00	8.15	6	396	0.00	Normal
StoreDesktopExtension	2	0.00	3.02	6	626	0.00	Normal
WinStore.App	2	0.00	25.85	21	0	0.00	Normal
ShellExperienceHost	2	0.02	91.09	51	0	0.00	Normal
SearchProtocolHost	1	0.01	24.08	8	531	0.00	Normal
MicrosoftEdgeUpdate	1	0.00	3.58	4	215	0.00	Normal
SearchFilterHost	2	0.00	8.94	8	463	0.00	Normal
ApplicationFrameHost	1	0.00	24.30	2	413	0.00	Normal
MoNotificationUx	1	0.00	2.06	4	262	0.00	Normal
LogonUI	1	0.00	3.88	5	325	0.00	Normal
SystemSettings	1	0.00	1.09	19	0	0.00	Normal
LockApp	1	0.00	41.24	13	515	0.00	Normal
DataExchangeHost	1	0.00	24.78	1	338	0.00	Normal
audiodg	1	0.01	12.38	6	223	0.00	Normal
conhost	1	0.00	11.98	3	129	0.00	Normal
EasyMiner	1	0.02	49.85	11	512	0.00	Normal
minerdcpu	1	6.25	19.89	19	272	0.00	Normal
msedge	8	0.01	395.92	171	0	0.17	Normal
HxTsr	1	0.00	20.88	13	330	0.00	Normal
SystemSettingsBroker	1	0.00	20.94	4	249	0.00	Normal
