Process Name	Instances	CPU	Memory	Threads	Handles	Data	Status
System	1	0.01	0.14	264	0	0.01	Normal
smss	1	0.00	0.23	2	60	0.00	Normal
csrss	3	0.00	23.32	34	0	0.00	Normal
wininit	1	0.00	0.73	1	148	0.00	Normal
winlogon	2	0.00	7.62	8	539	0.00	Normal
services	1	0.01	6.13	7	686	0.00	Normal
lsass	1	0.00	17.97	9	0	0.00	Normal
svchost	80	0.04	625.39	444	0	0.01	Normal
fontdrvhost	3	0.00	8.99	15	111	0.00	Normal
dwm	2	0.02	71.30	29	0	0.00	Normal
Memory Compression	1	0.02	179.39	152	0	0.00	Normal
spoolsv	1	0.00	3.96	10	434	0.00	Normal
vmtoolsd	2	0.00	20.10	18	669	0.00	Normal
VGAuthService	1	0.00	0.24	2	170	0.00	Normal
vm3dservice	3	0.00	4.03	11	391	0.00	Normal
MsMpEng	1	0.03	224.21	64	0	0.00	Normal
MpDefenderCoreService	1	0.00	9.76	10	500	0.00	Normal
dllhost	6	0.00	45.34	37	0	0.00	Normal
msdtc	1	0.00	0.35	9	237	0.00	Normal
AggregatorHost	1	0.00	5.62	2	136	0.00	Normal
NisSrv	1	0.00	3.98	3	213	0.00	Normal
SgrmBroker	1	0.00	4.61	6	107	0.00	Normal
uhssvc	1	0.00	11.47	3	272	0.00	Normal
SearchIndexer	1	0.01	48.32	16	998	0.01	Normal
SecurityHealthService	1	0.00	13.11	12	618	0.00	Normal
sihost	2	0.00	47.12	24	0	0.00	Normal
taskhostw	2	0.00	15.54	13	588	0.00	Normal
explorer	2	0.21	279.97	151	0	0.00	Normal
ctfmon	2	0.01	11.71	22	884	0.00	Normal
Widgets	2	0.00	27.36	35	0	0.00	Normal
WidgetService	2	0.00	12.33	9	600	0.00	Normal
SearchHost	2	0.00	126.51	120	0	0.00	Normal
StartMenuExperienceHost	2	0.00	92.15	32	0	0.00	Normal
RuntimeBroker	13	0.00	179.02	54	0	0.00	Normal
PhoneExperienceHost	1	0.00	16.41	17	0	0.00	Normal
SecurityHealthSystray	2	0.00	6.66	2	364	0.00	Normal
msteams	1	0.00	17.62	53	831	0.00	Normal
msedgewebview2	6	0.00	27.83	141	0	0.00	Normal
WindowsPackageManagerServer	1	0.00	4.99	4	403	0.00	Normal
OneDrive	1	0.00	16.79	23	899	0.00	Normal
OneDrive.Sync.Service	2	0.00	28.16	32	0	0.00	Normal
MoUsoCoreWorker	1	0.00	9.98	8	402	0.00	Normal
StoreDesktopExtension	2	0.00	3.02	6	626	0.00	Normal
WinStore.App	2	0.00	24.91	21	0	0.00	Normal
ShellExperienceHost	2	0.01	90.34	49	0	0.00	Normal
SearchProtocolHost	1	0.01	23.12	7	500	0.00	Normal
MicrosoftEdgeUpdate	1	0.00	3.60	4	215	0.00	Normal
SearchFilterHost	2	0.00	7.48	6	459	0.00	Normal
ApplicationFrameHost	1	0.00	24.32	2	413	0.00	Normal
MoNotificationUx	1	0.00	2.07	4	262	0.00	Normal
LogonUI	1	0.00	3.89	5	325	0.00	Normal
SystemSettings	1	0.00	1.09	19	0	0.00	Normal
LockApp	1	0.00	41.19	13	515	0.00	Normal
DataExchangeHost	1	0.00	24.50	1	338	0.00	Normal
audiodg	1	0.01	12.36	5	222	0.00	Normal
conhost	1	0.00	9.49	3	129	0.00	Normal
EasyMiner	1	0.04	47.51	11	515	0.00	Normal
minerdcpu	1	6.25	19.45	19	272	0.00	Normal
msedge	9	0.01	352.88	168	0	0.18	Normal
HxTsr	1	0.00	22.11	14	335	0.00	Normal
SystemSettingsBroker	1	0.00	19.43	1	238	0.00	Normal
