Process Name	Instances	CPU	Memory	Threads	Handles	Data	Status
System	1	0.03	0.14	255	0	0.01	Normal
smss	1	0.00	0.23	2	60	0.00	Normal
csrss	3	0.00	22.29	36	0	0.00	Normal
wininit	1	0.00	0.73	1	148	0.00	Normal
winlogon	2	0.00	7.62	8	539	0.00	Normal
services	1	0.00	5.83	7	683	0.00	Normal
lsass	1	0.00	19.10	9	0	0.00	Normal
svchost	80	0.08	608.77	432	0	0.07	Normal
fontdrvhost	3	-0.00	8.34	15	111	0.00	Normal
dwm	2	0.01	57.73	29	0	0.00	Normal
Memory Compression	1	0.02	242.87	232	0	0.00	Normal
spoolsv	1	0.00	3.97	10	434	0.00	Normal
vmtoolsd	2	0.00	14.88	17	669	0.00	Normal
VGAuthService	1	0.00	0.24	2	170	0.00	Normal
vm3dservice	3	0.00	3.92	11	391	0.00	Normal
MsMpEng	1	0.17	187.58	64	0	0.89	Normal
MpDefenderCoreService	1	0.00	9.72	10	501	0.00	Normal
dllhost	6	0.00	39.98	35	0	0.00	Normal
msdtc	1	0.00	0.34	9	237	0.00	Normal
AggregatorHost	1	0.00	6.12	2	225	0.00	Normal
NisSrv	1	0.00	3.94	3	213	0.00	Normal
SgrmBroker	1	0.00	4.55	6	107	0.00	Normal
uhssvc	1	0.00	11.04	3	268	0.00	Normal
SearchIndexer	1	0.01	51.04	15	974	0.01	Normal
SecurityHealthService	1	0.00	13.31	12	578	0.00	Normal
sihost	2	0.00	46.25	21	0	0.00	Normal
taskhostw	2	0.00	15.17	13	588	0.00	Normal
explorer	2	0.04	254.40	146	0	0.00	Normal
ctfmon	2	0.00	11.50	22	884	0.00	Normal
Widgets	2	0.00	27.68	38	0	0.00	Normal
WidgetService	2	0.00	12.32	8	600	0.00	Normal
SearchHost	2	0.00	125.34	121	0	0.00	Normal
StartMenuExperienceHost	2	0.00	88.76	31	0	0.00	Normal
RuntimeBroker	13	0.00	170.26	52	0	0.00	Normal
PhoneExperienceHost	1	0.00	16.99	17	0	0.00	Normal
SecurityHealthSystray	2	0.00	6.82	2	364	0.00	Normal
msteams	1	0.00	17.64	53	831	0.00	Normal
msedgewebview2	6	0.00	41.67	140	0	0.00	Normal
WindowsPackageManagerServer	2	0.00	33.35	8	821	0.00	Normal
OneDrive	1	-0.00	17.38	23	899	-0.00	Normal
OneDrive.Sync.Service	2	0.00	28.82	31	0	0.00	Normal
MoUsoCoreWorker	1	0.01	11.25	7	414	0.00	Normal
StoreDesktopExtension	2	0.00	3.03	6	626	0.00	Normal
WinStore.App	2	0.00	23.77	21	0	0.00	Normal
ShellExperienceHost	2	0.00	95.60	49	0	0.00	Normal
SearchProtocolHost	1	0.01	26.61	6	456	0.00	Normal
MicrosoftEdgeUpdate	1	0.00	3.49	4	215	0.00	Normal
SearchFilterHost	2	0.00	7.14	6	458	0.00	Normal
ApplicationFrameHost	1	0.00	24.02	2	413	0.00	Normal
MoNotificationUx	1	0.00	2.00	4	262	0.00	Normal
LogonUI	1	0.00	3.81	5	325	0.00	Normal
SystemSettings	1	0.00	1.09	19	0	0.00	Normal
LockApp	1	0.00	41.19	13	515	0.00	Normal
DataExchangeHost	1	0.00	24.02	1	338	0.00	Normal
conhost	1	0.00	10.09	4	168	0.00	Normal
EasyMiner	1	0.03	45.59	11	527	0.00	Normal
minerdcpu	1	6.25	18.83	19	272	0.00	Normal
msedge	9	0.01	320.66	175	0	0.19	Normal
HxTsr	1	0.00	21.37	12	340	0.00	Normal
SystemSettingsBroker	1	0.00	16.65	1	237	0.00	Normal
TrustedInstaller	1	0.00	7.80	5	139	0.00	Normal
TiWorker	1	0.00	12.77	7	223	0.00	Normal
