Process	PID	Description	Company Name	I/O Read Bytes	I/O Write Bytes	I/O Other Bytes
winlogon.exe	732					
wininit.exe	668					
WidgetService.exe	7836	WidgetService.exe	Microsoft Corporation	12.6  KB	1.6  KB	21.6  KB
Widgets.exe	6656		Microsoft Corporation	2.4  MB	8.3  MB	461.0  KB
WhatsApp.exe	8692			26.5  MB	6.4  MB	229.9  KB
VBoxTray.exe	4708	VirtualBox Guest Additions Tray Application	Oracle and/or its affiliates	29.4  KB	5.4  KB	453.7  KB
VBoxService.exe	1772	VirtualBox Guest Additions Service	Oracle and/or its affiliates			
UserOOBEBroker.exe	7452	User OOBE Broker	Microsoft Corporation	5.5  KB		2.2  KB
TextInputHost.exe	892		Microsoft Corporation	28.8  KB		97.0  KB
Telegram.exe	6948	Telegram Desktop	Telegram FZ-LLC	18.7  MB	40.7  KB	6.1  MB
taskhostw.exe	3484	Host Process for Windows Tasks	Microsoft Corporation	4.2  MB	6.0  MB	41.2  KB
SystemSettings.exe	8052	Settings	Microsoft Corporation	9.3  MB	26.9  KB	172.5  KB
System Idle Process	0					
System	4					
svchost.exe	940	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	524	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	564	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1116	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1132	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1140	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1220	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1236	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1284	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1296	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1428	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1444	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1496	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1744	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1828	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1968	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1980	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1992	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2000	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2072	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2132	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2160	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2176	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2292	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2332	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2412	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2424	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2436	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2576	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2768	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2852	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2988	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	3000	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	3012	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	708	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	3076	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	3108	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	3148	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	3216	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	3280	Host Process for Windows Services	Microsoft Corporation			
