Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
Registry		8,272 K	32,828 K	96		
System Idle Process	88.78	60 K	8 K	0		
System	2.22	44 K	164 K	4		
 Interrupts	4.44	0 K	0 K	n/a	Hardware Interrupts and DPCs	
 smss.exe		1,140 K	1,644 K	432		
 Memory Compression		432 K	28,292 K	1956		
csrss.exe	< 0.01	2,036 K	7,656 K	600		
wininit.exe		1,560 K	9,688 K	668		
 services.exe		4,804 K	11,676 K	812		
  svchost.exe	< 0.01	13,952 K	41,532 K	944	Host Process for Windows Services	Microsoft Corporation
   StartMenuExperienceHost.exe	< 0.01	55,624 K	146,780 K	2260	Windows Start Experience Host	Microsoft Corporation
   SearchHost.exe		38,128 K	134,648 K	800		Microsoft Corporation
    msedgewebview2.exe		35,508 K	115,488 K	2392	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		2,180 K	9,248 K	8568	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		14,704 K	42,880 K	4340	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe	< 0.01	12,580 K	40,620 K	2940	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		8,624 K	20,628 K	1360	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe	< 0.01	66,548 K	105,568 K	4080	Microsoft Edge WebView2	Microsoft Corporation
   RuntimeBroker.exe		13,900 K	62,548 K	724	Runtime Broker	Microsoft Corporation
   dllhost.exe		2,976 K	16,712 K	9312	COM Surrogate	Microsoft Corporation
   Widgets.exe	< 0.01	12,620 K	70,096 K	8832		Microsoft Corporation
    msedgewebview2.exe		38,400 K	130,944 K	2968	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		2,196 K	9,624 K	1044	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		17,104 K	54,444 K	7796	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		13,528 K	42,412 K	6736	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		9,204 K	20,860 K	5924	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		177,480 K	231,216 K	9776	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		8,016 K	21,688 K	6088	Microsoft Edge WebView2	Microsoft Corporation
   AppActions.exe		16,832 K	42,508 K	2548		
   UserOOBEBroker.exe		1,672 K	11,224 K	7060	User OOBE Broker	Microsoft Corporation
   FileCoAuth.exe		9,904 K	30,320 K	10032	Microsoft OneDriveFile Co-Authoring Executable	Microsoft Corporation
  svchost.exe	< 0.01	7,196 K	17,304 K	532	Host Process for Windows Services	Microsoft Corporation
