Process	PID	Description	Company Name	I/O Read Bytes	I/O Write Bytes	I/O Other Bytes
winlogon.exe	768					
wininit.exe	672					
WidgetService.exe	4908	WidgetService.exe	Microsoft Corporation	15.2  KB	1.6  KB	18.6  KB
Widgets.exe	3788		Microsoft Corporation	544.0  KB	18.5  MB	609.2  KB
VBoxTray.exe	8796	VirtualBox Guest Additions Tray Application	Oracle and/or its affiliates	77.4  KB	17.8  KB	1.4  MB
VBoxService.exe	1696	VirtualBox Guest Additions Service	Oracle and/or its affiliates			
taskhostw.exe	4716	Host Process for Windows Tasks	Microsoft Corporation	1.6  MB	14.5  MB	63.2  KB
System Idle Process	0					
System	4					
svchost.exe	956	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	524	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	668	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1132	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1156	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1220	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1228	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1324	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1360	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1384	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1468	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1484	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1556	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1772	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1888	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1896	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1908	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1916	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2044	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1976	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2064	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2076	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2172	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2228	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2268	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2340	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2380	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2432	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2508	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2712	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2764	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2872	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2964	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2976	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2992	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2328	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	3120	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	3244	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	3288	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	3300	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	3372	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	4676	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	5096	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	3240	Host Process for Windows Services	Microsoft Corporation	114.0  KB	154.4  KB	5.9  KB
svchost.exe	4424	Host Process for Windows Services	Microsoft Corporation			172 B
svchost.exe	3540	Host Process for Windows Services	Microsoft Corporation	1.0  MB	4.3  MB	19.7  KB
svchost.exe	3388	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	4960	Host Process for Windows Services	Microsoft Corporation			
