Process	PID	Description	I/O Read Bytes	I/O Write Bytes	I/O Other Bytes
svchost.exe	9072	Host Process for Windows Services			
ctfmon.exe	9052		16.7  KB		75.7  KB
UserOOBEBroker.exe	8944	User OOBE Broker	5.5  KB		2.0  KB
svchost.exe	8768	Host Process for Windows Services			
NisSrv.exe	8720	Microsoft Network Realtime Inspection Service			
AppActions.exe	8616		42.7  KB		6.7  KB
svchost.exe	8408	Host Process for Windows Services			
SecurityHealthSystray.exe	8360	Windows Security notification icon	6.7  KB		2.9  KB
msedgewebview2.exe	8328	Microsoft Edge WebView2	1.1  MB	319.1  KB	21.9  KB
Code.exe	8316	Visual Studio Code	4.0  MB	387.1  KB	23.9  KB
msedgewebview2.exe	8272	Microsoft Edge WebView2	1.6  KB	84 B	3.2  KB
Code.exe	7988	Visual Studio Code	324 B	108 B	2.4  KB
msedgewebview2.exe	7580	Microsoft Edge WebView2	1.9  MB	2.3  MB	11.9  KB
msedgewebview2.exe	7516	Microsoft Edge WebView2	1007.5  KB	1.9  MB	8.6  KB
WinStore.App.exe	7508	 	358.1  KB	239.6  KB	56.9  KB
msedgewebview2.exe	7396	Microsoft Edge WebView2	2.6  MB	2.2  MB	48.9  KB
msedgewebview2.exe	7388	Microsoft Edge WebView2	56.7  KB	245.2  KB	22.5  KB
Code.exe	7332	Visual Studio Code	1.2  MB	71.6  KB	15.0  KB
svchost.exe	7032	Host Process for Windows Services			
msedgewebview2.exe	6916	Microsoft Edge WebView2	3.1  MB	13.3  MB	100.3  KB
OneDrive.Sync.Service.exe	6892	Microsoft OneDrive Sync Service	1.1  MB	535.6  KB	73.8  KB
WidgetService.exe	6756	WidgetService.exe	512 B	1.6  KB	20.8  KB
svchost.exe	6720	Host Process for Windows Services			
SearchIndexer.exe	6692	Microsoft Windows Search Indexer			
Code.exe	6660	Visual Studio Code	5.4  MB	1.7  MB	9.7  KB
Widgets.exe	6640		1.0  MB	7.9  MB	326.3  KB
RuntimeBroker.exe	6492	Runtime Broker	15.4  KB	248 B	23.5  KB
svchost.exe	6484	Host Process for Windows Services	51.4  KB		10.0  KB
RuntimeBroker.exe	6416	Runtime Broker	1.5  MB	8 B	78.7  KB
SearchHost.exe	6336		6.2  MB	15.6  MB	102.4  KB
svchost.exe	6316	Host Process for Windows Services			
msedgewebview2.exe	6288	Microsoft Edge WebView2	1.6  KB	72 B	3.4  KB
StartMenuExperienceHost.exe	6276	Windows Start Experience Host	4.6  MB	251.1  KB	136.6  KB
msedgewebview2.exe	6192	Microsoft Edge WebView2	9.4  MB	7.4  MB	265.8  KB
svchost.exe	6060	Host Process for Windows Services			
VBoxTray.exe	6008	VirtualBox Guest Additions Tray Application	41.8  KB	8.9  KB	735.0  KB
svchost.exe	5836	Host Process for Windows Services			10.8  KB
msedgewebview2.exe	5748	Microsoft Edge WebView2	9.1  MB	9.2  MB	8.5  KB
svchost.exe	5684	Host Process for Windows Services			
AggregatorHost.exe	5676				
CrossDeviceResume.exe	5660		38.5  KB		22.9  KB
ShellHost.exe	5348	ShellHost	512 B		3.8  KB
svchost.exe	5340	Host Process for Windows Services			
RuntimeBroker.exe	5308	Runtime Broker	17.5  KB		2.1  KB
explorer.exe	5296	Windows Explorer	1.5  MB	543.6  KB	934.6  KB
svchost.exe	5208	Host Process for Windows Services			
msedgewebview2.exe	5196	Microsoft Edge WebView2	17.5  MB	11.2  MB	11.5  KB
StoreDesktopExtension.exe	5136	StoreDesktopExtension	65.7  KB		15.5  KB
svchost.exe	5124	Host Process for Windows Services			
svchost.exe	4984	Host Process for Windows Services	1.5  MB	2.7  MB	6.2  KB
svchost.exe	4956	Host Process for Windows Services			
Code.exe	4952	Visual Studio Code	10.3  MB	4.4  MB	15.9  KB
svchost.exe	4832	Host Process for Windows Services			
sihost.exe	4664	Shell Infrastructure Host	149.4  KB		1.3  MB
msedgewebview2.exe	4440	Microsoft Edge WebView2	21.7  MB	6.8  MB	370.0  KB
Code.exe	4404	Visual Studio Code	901.5  KB	210.7  KB	39.7  KB
Code.exe	4392	Visual Studio Code	451.0  KB	733.0  KB	15.9  KB
svchost.exe	4360	Host Process for Windows Services			172 B
ShellExperienceHost.exe	4268	Windows Shell Experience Host	43.3  KB		13.2  KB
svchost.exe	4128	Host Process for Windows Services			
FileCoAuth.exe	4064	Microsoft OneDriveFile Co-Authoring Executable	205.3  KB	35.7  KB	3.6  KB
svchost.exe	4036	Host Process for Windows Services			
procexp.exe	3604	Sysinternals Process Explorer	139.6  KB	2.3  MB	4.0  KB
SecurityHealthService.exe	3548	Windows Security Health Service			
svchost.exe	3440	Host Process for Windows Services			
svchost.exe	3320	Host Process for Windows Services			
svchost.exe	3300	Host Process for Windows Services			
svchost.exe	3288	Host Process for Windows Services			
svchost.exe	3280	Host Process for Windows Services			
MsMpEng.exe	3216	Antimalware Service Executable			
svchost.exe	3208	Host Process for Windows Services			
svchost.exe	3152	Host Process for Windows Services			
snmp.exe	3140	SNMP Service			
svchost.exe	3124	Host Process for Windows Services			
procexp64.exe	3120	Sysinternals Process Explorer	282.7  MB	61.0  KB	2.8  MB
MpDefenderCoreService.exe	3104	Antimalware Core Service			
svchost.exe	3092	Host Process for Windows Services	74.0  KB	37.7  KB	5.8  KB
svchost.exe	3088	Host Process for Windows Services			
svchost.exe	3060	Host Process for Windows Services			
