Process	PID	I/O Read Bytes	I/O Write Bytes	I/O Other Bytes
Registry	292			
System Idle Process	0			
System	4			
 Interrupts	n/a			
 smss.exe	660			
 Memory Compression	2340			
csrss.exe	800			
wininit.exe	872			
 services.exe	992			
  svchost.exe	1056			
   dllhost.exe	4496			
   WmiPrvSE.exe	5080			
   Widgets.exe	6744	36.9  KB	1.6  KB	25.8  KB
   WidgetService.exe	1968	13.3  KB	1.6  KB	10.8  KB
   SearchHost.exe	7084	12.1  MB	13.2  MB	1.3  MB
   StartMenuExperienceHost.exe	4640	183.0  KB	43.0  KB	24.9  KB
   RuntimeBroker.exe	7232	83.1  KB		25.0  KB
   RuntimeBroker.exe	7284	98.4  KB	820 B	83.1  KB
   dllhost.exe	7884	7.2  MB	7.3  MB	40.2  KB
   PhoneExperienceHost.exe	8232	620.8  KB	93 B	139.0  KB
   RuntimeBroker.exe	9760			2.4  KB
   WindowsPackageManagerServer.exe	11604	70.2  KB	1.4  KB	23.4  KB
  svchost.exe	1188			
  svchost.exe	1240			
  svchost.exe	1452			
  svchost.exe	1616			
  svchost.exe	1624			
  svchost.exe	1632			
  svchost.exe	1692			
   MicrosoftEdgeUpdate.exe	6560			
   taskhostw.exe	1580	5.6  MB	7.7  MB	31.6  KB
  svchost.exe	1720			
  svchost.exe	1772			
  svchost.exe	1856			
   sihost.exe	5700	478.6  KB		260.5  KB
  svchost.exe	1020			
  svchost.exe	1576			
  svchost.exe	2076			
  svchost.exe	2136			
  svchost.exe	2144			
  svchost.exe	2160			
  svchost.exe	2248			
  svchost.exe	2388			
  svchost.exe	2440			
  svchost.exe	2452			
  svchost.exe	2504			
  svchost.exe	2728			
  svchost.exe	2760			
  svchost.exe	2844			
  svchost.exe	2852			
  svchost.exe	2884			
  svchost.exe	2988			
  spoolsv.exe	3080			
  svchost.exe	3104			
  svchost.exe	3180			
  svchost.exe	3304			
   AggregatorHost.exe	4852			
  svchost.exe	3320			
  svchost.exe	3328			
  svchost.exe	3344			
  svchost.exe	3356			
  svchost.exe	3376			
  svchost.exe	3384			
  vmtoolsd.exe	3392			
  VGAuthService.exe	3400			
  vm3dservice.exe	3416			
   vm3dservice.exe	3692			
  MsMpEng.exe	3464			
  MpDefenderCoreService.exe	3488			
  svchost.exe	3836			
  svchost.exe	4068			
  dllhost.exe	4220			
  svchost.exe	4340			
  msdtc.exe	4464			
  svchost.exe	4788			
  svchost.exe	4796			
  svchost.exe	5028			
  NisSrv.exe	5644			
  svchost.exe	6076			
  svchost.exe	1208			
  svchost.exe	5216			
  svchost.exe	6644			
  svchost.exe	6864			
  SgrmBroker.exe	6920			
  uhssvc.exe	7028			
  svchost.exe	7076			
   MoUsoCoreWorker.exe	12048			
    MoNotificationUx.exe	4316	413.0  KB	12.0  KB	12.7  KB
  svchost.exe	4508			
  svchost.exe	1148			
  SearchIndexer.exe	4932			
  svchost.exe	3568			
  svchost.exe	5320			
  svchost.exe	5096			
  svchost.exe	6856			
  SecurityHealthService.exe	2720			
  svchost.exe	324			
  svchost.exe	4296			
  svchost.exe	5380			
  svchost.exe	6036	170.7  KB	264.0  KB	6.7  KB
  svchost.exe	3508	449.8  KB	1.5  MB	24.5  KB
  svchost.exe	1948			
   ctfmon.exe	624	7.1  KB		8.1  KB
  svchost.exe	4308	9.8  KB		4.5  KB
  svchost.exe	5444			
  svchost.exe	7344	10.2  KB		9.5  KB
  svchost.exe	9308			
  svchost.exe	6504	6.0  KB		4.0  KB
 lsass.exe	628			
 fontdrvhost.exe	1100			
csrss.exe	880			
winlogon.exe	972			
 fontdrvhost.exe	1108			
 dwm.exe	1312			
explorer.exe	4200	12.9  MB	13.3  KB	1.2  MB
 SecurityHealthSystray.exe	1512	7.2  KB		2.9  KB
 vmtoolsd.exe	6112	14.0  KB	5.5  KB	6.3  KB
 Code.exe	10852	38.2  MB	10.2  MB	336.2  KB
  Code.exe	10956	5.1  KB	96 B	2.2  KB
  Code.exe	11040	2.1  MB	136.8  KB	22.9  KB
  Code.exe	11056	750.0  KB	117.8  KB	37.5  KB
  Code.exe	10672	10.9  MB	2.8  MB	15.8  KB
  Code.exe	7688	18.2  MB	1.8  MB	1.0  MB
  Code.exe	7656	1.1  MB	114.4  KB	44.0  KB
  Code.exe	5864	5.7  MB	3.2  MB	137.4  KB
 procexp.exe	3616	139.4  KB	2.3  MB	3.4  KB
  procexp64.exe	10820	261.9  MB	100.0  KB	2.7  MB
msteams.exe	9264	13.2  MB	34.1  MB	110.1  KB
 msedgewebview2.exe	9880	46.5  MB	4.8  MB	328.7  KB
  msedgewebview2.exe	9936	1.6  KB	72 B	2.3  KB
  msedgewebview2.exe	10176	33.8  KB	85.0  KB	21.4  KB
  msedgewebview2.exe	10196	2.2  MB	948.7  KB	35.1  KB
  msedgewebview2.exe	7164	82.8  KB	140.2  KB	8.5  KB
  msedgewebview2.exe	9588	2.0  MB	2.6  MB	11.5  KB
OneDrive.exe	11788	4.6  MB	903.6  KB	275.7  KB
OneDrive.Sync.Service.exe	12080	1.0  MB	564.1  KB	54.0  KB

