Process Name	Instances	CPU	Memory	Threads	Handles	Data	Status
System	1	0.37	0.16	135	0	0.00	Normal
smss	1	0.00	1.66	2	58	0.00	Normal
csrss	2	0.04	15.42	24	0	0.00	Normal
wininit	1	0.00	9.45	1	158	0.00	Normal
services	1	0.02	11.48	7	623	0.00	Normal
lsass	1	0.02	27.84	10	0	0.00	Normal
fontdrvhost	2	0.00	17.17	10	84	0.00	Normal
svchost	70	0.16	1317.79	415	0	0.00	Normal
VBoxService	1	0.07	9.03	11	166	0.00	Normal
Memory Compression	1	0.00	32.20	46	0	0.00	Normal
spoolsv	1	0.00	21.11	10	446	0.00	Normal
OfficeClickToRun	1	0.01	70.58	18	779	0.00	Normal
MpDefenderCoreService	1	0.01	28.19	9	514	0.00	Normal
snmp	1	0.02	12.07	5	245	0.00	Normal
MsMpEng	1	0.07	257.09	24	817	0.00	Normal
AggregatorHost	1	0.00	17.23	3	239	0.00	Normal
SearchIndexer	1	0.00	39.97	9	924	0.00	Normal
NisSrv	1	0.00	14.70	3	215	0.00	Normal
SecurityHealthService	1	0.00	24.20	8	493	0.00	Normal
winlogon	1	0.00	13.44	5	262	0.00	Normal
dwm	1	0.23	113.10	19	959	0.00	Normal
sihost	1	0.00	48.45	13	670	0.00	Normal
taskhostw	1	0.00	21.88	7	315	0.00	Normal
explorer	1	0.08	338.56	79	0	0.00	Normal
ShellHost	1	0.00	40.05	6	382	0.00	Normal
CrossDeviceResume	1	0.00	45.37	5	411	0.00	Normal
OneDrive	1	0.00	130.12	24	964	0.00	Normal
Widgets	1	0.00	66.33	14	890	0.00	Normal
SearchHost	1	0.00	130.12	14	0	0.00	Normal
StartMenuExperienceHost	1	0.00	146.31	19	0	0.00	Normal
UserOOBEBroker	1	0.00	11.21	1	129	0.00	Normal
RuntimeBroker	4	0.01	103.11	16	0	0.00	Normal
WidgetService	1	0.00	27.37	5	330	0.00	Normal
msedgewebview2	12	0.01	774.14	218	0	0.00	Normal
ctfmon	1	0.03	36.99	10	538	0.00	Normal
PhoneExperienceHost	1	0.11	174.09	20	0	0.00	Normal
SecurityHealthSystray	1	0.00	12.85	1	178	0.00	Normal
VBoxTray	1	0.01	14.87	11	286	0.00	Normal
backgroundTaskHost	3	0.00	53.95	30	0	0.00	Normal
Code	8	0.10	886.88	163	0	0.00	Normal
AppActions	1	0.00	42.28	5	290	0.00	Normal
FileCoAuth	1	0.00	29.38	3	207	0.00	Normal
