Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
AggregatorHost.exe		5,148 K	14,692 K	5228		
AppActions.exe		16,848 K	32,148 K	4412		
AppActions.exe		16,772 K	32,332 K	11332		
ApplicationFrameHost.exe		9,556 K	41,288 K	5400		
ApplicationFrameHost.exe		9,112 K	40,896 K	11100	Application Frame Host	Microsoft Corporation
backgroundTaskHost.exe		17,144 K	42,136 K	2344		
backgroundTaskHost.exe	< 0.01	19,812 K	42,000 K	2620	Background Task Host	Microsoft Corporation
CrossDeviceResume.exe		8,172 K	43,884 K	5176		
CrossDeviceResume.exe		8,172 K	43,944 K	9756		Microsoft Corporation
CrossDeviceService.exe		22,908 K	77,580 K	3372		
csrss.exe	< 0.01	2,000 K	7,104 K	600		
csrss.exe	< 0.01	1,896 K	7,080 K	676		
csrss.exe	< 0.01	2,164 K	8,044 K	5052		
ctfmon.exe		27,080 K	35,800 K	7568		
ctfmon.exe		24,440 K	47,524 K	13844		
dllhost.exe		5,804 K	19,008 K	2520	COM Surrogate	Microsoft Corporation
dllhost.exe		2,568 K	14,552 K	2468	COM Surrogate	Microsoft Corporation
dwm.exe		74,600 K	82,512 K	528		
dwm.exe	3.65	96,764 K	129,088 K	3532		
explorer.exe	< 0.01	143,212 K	232,060 K	3784		
explorer.exe	< 0.01	190,984 K	305,884 K	9408	Windows Explorer	Microsoft Corporation
FileCoAuth.exe		9,696 K	27,380 K	13752	Microsoft OneDriveFile Co-Authoring Executable	Microsoft Corporation
fontdrvhost.exe		1,668 K	3,888 K	948		
fontdrvhost.exe		7,576 K	6,940 K	956		
fontdrvhost.exe		4,888 K	7,472 K	764		
Interrupts	3.65	0 K	0 K	n/a	Hardware Interrupts and DPCs	
LogonUI.exe		7,240 K	37,620 K	5616		
lsass.exe	< 0.01	10,068 K	30,100 K	824	Local Security Authority Process	Microsoft Corporation
Memory Compression	9.49	1,488 K	616,196 K	2100		
Microsoft.SharePoint.exe		33,044 K	44,048 K	13344		
MoUsoCoreWorker.exe		5,576 K	31,452 K	13744		
MpDefenderCoreService.exe		10,216 K	24,104 K	3088	Antimalware Core Service	Microsoft Corporation
msedge.exe	< 0.01	51,152 K	120,756 K	6572		
msedge.exe		2,188 K	8,776 K	4292		
msedge.exe		13,404 K	39,176 K	3588		
msedge.exe	< 0.01	11,632 K	26,296 K	8644		
msedge.exe		8,264 K	18,204 K	2372		
msedge.exe		72,752 K	73,580 K	11096		
msedge.exe	< 0.01	15,584 K	25,724 K	7668		
msedge.exe		11,248 K	26,276 K	9892		
msedge.exe		11,160 K	26,136 K	9760		
msedge.exe	< 0.01	49,104 K	113,256 K	11392	Microsoft Edge	Microsoft Corporation
msedge.exe		2,176 K	9,144 K	12792	Microsoft Edge	Microsoft Corporation
msedge.exe	< 0.01	13,024 K	38,496 K	13244	Microsoft Edge	Microsoft Corporation
msedge.exe		11,672 K	26,460 K	7716	Microsoft Edge	Microsoft Corporation
msedge.exe		8,184 K	18,312 K	804	Microsoft Edge	Microsoft Corporation
msedge.exe		81,536 K	71,636 K	10752	Microsoft Edge	Microsoft Corporation
msedge.exe	< 0.01	15,024 K	25,584 K	14540	Microsoft Edge	Microsoft Corporation
msedgewebview2.exe		37,096 K	103,748 K	7128		
msedgewebview2.exe		2,196 K	8,560 K	6996		
msedgewebview2.exe		14,676 K	39,736 K	7260		
msedgewebview2.exe	< 0.01	11,536 K	36,680 K	7272		
msedgewebview2.exe		8,516 K	18,248 K	7372		
msedgewebview2.exe	< 0.01	73,804 K	76,656 K	7460		
msedgewebview2.exe		37,200 K	99,808 K	9248		
msedgewebview2.exe		2,156 K	9,088 K	9428		
msedgewebview2.exe		14,280 K	40,816 K	9968		
msedgewebview2.exe		12,532 K	37,868 K	7980		
msedgewebview2.exe		8,536 K	17,580 K	912		
msedgewebview2.exe		142,604 K	79,120 K	9564		
msedgewebview2.exe		8,220 K	19,444 K	2516		
msedgewebview2.exe		36,548 K	104,640 K	11432	Microsoft Edge WebView2	Microsoft Corporation
msedgewebview2.exe		2,200 K	9,016 K	11480	Microsoft Edge WebView2	Microsoft Corporation
msedgewebview2.exe		14,408 K	38,224 K	11848	Microsoft Edge WebView2	Microsoft Corporation
msedgewebview2.exe		11,976 K	37,652 K	11856	Microsoft Edge WebView2	Microsoft Corporation
msedgewebview2.exe		8,428 K	18,132 K	11884	Microsoft Edge WebView2	Microsoft Corporation
msedgewebview2.exe		73,500 K	70,276 K	11936	Microsoft Edge WebView2	Microsoft Corporation
msedgewebview2.exe		37,684 K	116,572 K	10968	Microsoft Edge WebView2	Microsoft Corporation
msedgewebview2.exe		2,172 K	9,340 K	6036	Microsoft Edge WebView2	Microsoft Corporation
msedgewebview2.exe		14,588 K	43,800 K	5824	Microsoft Edge WebView2	Microsoft Corporation
msedgewebview2.exe		12,144 K	39,264 K	4024	Microsoft Edge WebView2	Microsoft Corporation
msedgewebview2.exe		8,860 K	19,040 K	13308	Microsoft Edge WebView2	Microsoft Corporation
msedgewebview2.exe		95,928 K	129,048 K	12888	Microsoft Edge WebView2	Microsoft Corporation
MsMpEng.exe	0.73	282,924 K	170,384 K	3232	Antimalware Service Executable	Microsoft Corporation
NisSrv.exe		4,116 K	12,916 K	4168	Microsoft Network Realtime Inspection Service	Microsoft Corporation
OfficeClickToRun.exe	< 0.01	35,132 K	44,612 K	2236	Microsoft Office Click-to-Run (SxS)	Microsoft Corporation
OneDrive.exe	< 0.01	49,388 K	110,488 K	10676	Microsoft OneDrive	Microsoft Corporation
procexp.exe		4,684 K	14,040 K	1060	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com
