Process,Memory,Cumulative Total ,Total Usage of  Memory in 100% (B / C *100),Column1
svchost,1422.78,5827.623,24.41%,81.67%
Discord,793.749,5827.623,13.62%,
msedgewebview2,592.802,5827.623,10.17%,
msedge,401.292,5827.623,6.89%,
WhatsApp,300.03,5827.623,5.15%,
explorer,272.465,5827.623,4.68%,
MsMpEng,253.367,5827.623,4.35%,
RuntimeBroker,212.418,5827.623,3.65%,
PhoneExperienceHost,157.766,5827.623,2.71%,
StartMenuExperienceHost,120.758,5827.623,2.07%,
dwm,117.212,5827.623,2.01%,
SearchHost,114.923,5827.623,1.97%,
Memory Compression,106.516,5827.623,1.83%,
ShellExperienceHost,89.994,5827.623,1.54%,
CrossDeviceService,83.536,5827.623,1.43%,
OfficeClickToRun,81.81,5827.623,1.40%,
TextInputHost,75.363,5827.623,1.29%,
Widgets,53.833,5827.623,0.92%,
sihost,49.967,5827.623,0.86%,
ApplicationFrameHost,46.941,5827.623,0.81%,
CrossDeviceResume,45.363,5827.623,0.78%,
ShellHost,40.088,5827.623,0.69%,
ctfmon,36.062,5827.623,0.62%,
spoolsv,29.458,5827.623,0.51%,
lsass,28.235,5827.623,0.48%,
MpDefenderCoreService,27.283,5827.623,0.47%,
SearchIndexer,24.963,5827.623,0.43%,
SecurityHealthService,24.656,5827.623,0.42%,
WidgetService,24.262,5827.623,0.42%,
taskhostw,20.565,5827.623,0.35%,
ms-teams,20.168,5827.623,0.35%,
winlogon,15.058,5827.623,0.26%,
csrss,15.006,5827.623,0.26%,
NisSrv,14.674,5827.623,0.25%,
fontdrvhost,14.329,5827.623,0.25%,
VBoxTray,14.216,5827.623,0.24%,
SecurityHealthSystray,12.903,5827.623,0.22%,
AggregatorHost,12.281,5827.623,0.21%,
snmp,12.078,5827.623,0.21%,
services,11.574,5827.623,0.20%,
AppVShNotify,10.816,5827.623,0.19%,
wininit,9.439,5827.623,0.16%,
VBoxService,8.649,5827.623,0.15%,
Microsoft.SharePoint,3.126,5827.623,0.05%,
SystemSettings,3.011,5827.623,0.05%,
smss,1.667,5827.623,0.03%,
System,0.171,5827.623,0.00%,
