Process	PID	Description	Company Name	I/O Read Bytes	I/O Write Bytes	I/O Other Bytes
AggregatorHost.exe	5440					
AppActions.exe	2000			44.8  KB		6.8  KB
ApplicationFrameHost.exe	3704	Application Frame Host	Microsoft Corporation	23.9  KB		14.6  KB
AppVShNotify.exe	11036	Microsoft Application Virtualization Client Shell Notifier	Microsoft Corporation	5.5  KB	564 B	2.9  KB
backgroundTaskHost.exe	9368	Background Task Host	Microsoft Corporation	8.3  MB	50.8  KB	108.5  KB
backgroundTaskHost.exe	12300	Background Task Host	Microsoft Corporation			185.2  KB
backgroundTaskHost.exe	11612	Background Task Host	Microsoft Corporation	58.5  KB		31.1  KB
CrossDeviceResume.exe	5524		Microsoft Corporation	33.7  KB		18.9  KB
CrossDeviceService.exe	11100	Microsoft Cross Device Service	Microsoft Corporation	2.2  MB	11.6  KB	624.7  KB
csrss.exe	596					
csrss.exe	676					
ctfmon.exe	7820			4.6  MB	322.7  KB	222.1  KB
dllhost.exe	4172	COM Surrogate	Microsoft Corporation	2.7  KB		9.6  KB
dllhost.exe	1104	COM Surrogate	Microsoft Corporation	2.7  KB		8.5  KB
dllhost.exe	8804	COM Surrogate	Microsoft Corporation			
dwm.exe	664					
explorer.exe	4916	Windows Explorer	Microsoft Corporation	250.2  MB	11.6  MB	11.5  MB
fontdrvhost.exe	952					
fontdrvhost.exe	960					
Interrupts	n/a	Hardware Interrupts and DPCs				
lsass.exe	824	Local Security Authority Process	Microsoft Corporation			
Memory Compression	2012					
Microsoft.AAD.BrokerPlugin.exe	5972	Microsoft Entra WAM plugin	Microsoft Corporation	11.1  MB	3.9  MB	1.1  MB
Microsoft.SharePoint.exe	14912	Microsoft SharePoint	Microsoft Corporation	4.5  MB	1.0  MB	988.1  KB
MpDefenderCoreService.exe	2032	Antimalware Core Service	Microsoft Corporation			
msdtc.exe	9296	Microsoft Distributed Transaction Coordinator Service	Microsoft Corporation			
msedge.exe	14424	Microsoft Edge	Microsoft Corporation	33.1  MB	24.5  MB	1.2  MB
msedge.exe	1576	Microsoft Edge	Microsoft Corporation	7.3  KB	192 B	4.3  KB
msedge.exe	1560	Microsoft Edge	Microsoft Corporation	3.9  MB	2.7  MB	98.5  KB
msedge.exe	3228	Microsoft Edge	Microsoft Corporation	50.3  KB	526.7  KB	24.5  KB
msedge.exe	9704	Microsoft Edge	Microsoft Corporation	202.8  KB	407.3  KB	9.1  KB
msedge.exe	13936	Microsoft Edge	Microsoft Corporation	2.4  MB	4.9  MB	12.5  KB
msedge.exe	5456	Microsoft Edge	Microsoft Corporation	85.1  KB	765.7  KB	12.0  KB
msedgewebview2.exe	6656	Microsoft Edge WebView2	Microsoft Corporation	60.6  MB	53.7  MB	1.0  MB
msedgewebview2.exe	6700	Microsoft Edge WebView2	Microsoft Corporation	1.6  KB	72 B	16.1  KB
msedgewebview2.exe	7112	Microsoft Edge WebView2	Microsoft Corporation	3.0  MB	2.8  MB	28.8  KB
msedgewebview2.exe	7120	Microsoft Edge WebView2	Microsoft Corporation	4.1  MB	8.8  MB	283.7  KB
msedgewebview2.exe	6844	Microsoft Edge WebView2	Microsoft Corporation	4.2  MB	8.1  MB	9.2  KB
msedgewebview2.exe	7304	Microsoft Edge WebView2	Microsoft Corporation	22.7  MB	24.6  MB	12.9  KB
msedgewebview2.exe	4868	Microsoft Edge WebView2	Microsoft Corporation	49.1  MB	18.9  MB	1.6  MB
msedgewebview2.exe	6016	Microsoft Edge WebView2	Microsoft Corporation	6.0  KB	84 B	18.0  KB
msedgewebview2.exe	968	Microsoft Edge WebView2	Microsoft Corporation	85.0  MB	4.2  MB	26.1  KB
msedgewebview2.exe	9328	Microsoft Edge WebView2	Microsoft Corporation	18.1  MB	34.5  MB	605.7  KB
msedgewebview2.exe	1088	Microsoft Edge WebView2	Microsoft Corporation	66.9  MB	88.4  MB	9.0  KB
msedgewebview2.exe	1196	Microsoft Edge WebView2	Microsoft Corporation	140.9  MB	131.9  MB	13.9  KB
msedgewebview2.exe	6552	Microsoft Edge WebView2	Microsoft Corporation	32.3  KB	470.5  KB	13.3  KB
MsMpEng.exe	3396	Antimalware Service Executable	Microsoft Corporation			
NisSrv.exe	6448	Microsoft Network Realtime Inspection Service	Microsoft Corporation			
OfficeClickToRun.exe	15048	Microsoft Office Click-to-Run (SxS)	Microsoft Corporation			
PhoneExperienceHost.exe	11588	Microsoft Phone Link	Microsoft Corporation	1.8  MB	279 B	190.9  KB
procexp.exe	7028	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com	141.6  KB	2.3  MB	3.3  KB
procexp.exe	13140	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com	126.5  KB		3.3  KB
procexp64.exe	13752	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com	295.5  MB	40.0  KB	3.8  MB
procexp64.exe	4924	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com	295.5  MB	53.7  KB	3.9  MB
Registry	104					
RuntimeBroker.exe	6252	Runtime Broker	Microsoft Corporation	6.5  MB	277.4  KB	771.8  KB
RuntimeBroker.exe	6368	Runtime Broker	Microsoft Corporation	1.9  MB	16 B	239.6  KB
RuntimeBroker.exe	11216	Runtime Broker	Microsoft Corporation			3.0  KB
RuntimeBroker.exe	2704	Runtime Broker	Microsoft Corporation	135.3  KB		582.9  KB
RuntimeBroker.exe	9684	Runtime Broker	Microsoft Corporation	70.4  KB		6.8  KB
RuntimeBroker.exe	11488	Runtime Broker	Microsoft Corporation	20.0  KB		3.4  KB
RuntimeBroker.exe	11016	Runtime Broker	Microsoft Corporation	5.2  MB	192.1  KB	4.3  MB
RuntimeBroker.exe	10832	Runtime Broker	Microsoft Corporation	180.9  KB	3.4  KB	1.8  MB
SDXHelper.exe	13108	Microsoft Office SDX Helper	Microsoft Corporation	249.2  KB	369.3  KB	1.2  MB
SearchHost.exe	5000		Microsoft Corporation	9.4  MB	4.5  MB	1.9  MB
SearchIndexer.exe	2460	Microsoft Windows Search Indexer	Microsoft Corporation			
SecurityHealthService.exe	8796	Windows Security Health Service	Microsoft Corporation			
SecurityHealthSystray.exe	8816	Windows Security notification icon	Microsoft Corporation	8.5  KB		3.9  KB
services.exe	808					
ShellExperienceHost.exe	8752	Windows Shell Experience Host	Microsoft Corporation	14.0  MB		507.1  KB
ShellHost.exe	4640	ShellHost	Microsoft Corporation	18.2  KB		9.8  KB
sihost.exe	4596	Shell Infrastructure Host	Microsoft Corporation	353.2  KB		6.0  MB
smss.exe	424					
snmp.exe	3168	SNMP Service	Microsoft Corporation			
spoolsv.exe	2664	Spooler SubSystem App	Microsoft Corporation			
StartMenuExperienceHost.exe	2868	Windows Start Experience Host	Microsoft Corporation	4.9  MB	403.4  KB	367.1  KB
svchost.exe	940	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	460	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	660	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1180	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1188	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1204	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1260	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1316	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1392	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1408	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1444	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1520	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1804	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1824	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1880	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1888	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1904	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2036	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1876	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2072	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2088	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2172	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2188	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2248	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2272	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2348	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2356	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2400	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2540	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2724	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2764	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2940	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2952	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2960	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	3080	Host Process for Windows Services	Microsoft Corporation			
