Process	PID	Description	Company Name	I/O Read Bytes	I/O Write Bytes	I/O Other Bytes
winlogon.exe	732					
wininit.exe	664					
WidgetService.exe	6832	WidgetService.exe	Microsoft Corporation	18.4  KB	1.6  KB	20.2  KB
Widgets.exe	3972		Microsoft Corporation	3.3  MB	24.8  MB	1.1  MB
VBoxTray.exe	7912	VirtualBox Guest Additions Tray Application	Oracle and/or its affiliates	223.6  KB	54.2  KB	4.3  MB
VBoxService.exe	1644	VirtualBox Guest Additions Service	Oracle and/or its affiliates			
TextInputHost.exe	8116		Microsoft Corporation	32.7  KB		97.9  KB
taskhostw.exe	4852	Host Process for Windows Tasks	Microsoft Corporation			7.3  KB
taskhostw.exe	8032			91.3  KB	252.0  KB	10.5  KB
SystemSettings.exe	8880	Settings	Microsoft Corporation	4.4  MB	5.5  KB	101.3  KB
System Idle Process	0					
System	4					
svchost.exe	932	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	408	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	560	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1160	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1176	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1240	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1308	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1340	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1348	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1412	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1516	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1560	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1716	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1868	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1876	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1900	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1908	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2028	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1592	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	1600	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2124	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2160	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2220	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2236	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2272	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2440	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2500	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2540	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2732	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2760	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2888	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2900	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2916	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	3024	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	2884	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	3104	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	3196	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	3248	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	3268	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	832	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	3388	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	4548	Host Process for Windows Services	Microsoft Corporation	1.8  MB	561.9  KB	165.7  KB
svchost.exe	4652	Host Process for Windows Services	Microsoft Corporation			1.0  KB
svchost.exe	4748	Host Process for Windows Services	Microsoft Corporation	30.9  MB	788.3  MB	80.1  KB
svchost.exe	4804	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	5072	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	5044	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	5384	Host Process for Windows Services	Microsoft Corporation			292.1  KB
svchost.exe	5560	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	5084	Host Process for Windows Services	Microsoft Corporation	49.9  KB		13.5  KB
svchost.exe	7212	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	7536	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	8676	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	4896	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	9576	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	3400	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	9524	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	3260	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	6672	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	8388	Host Process for Windows Services	Microsoft Corporation	13.6  MB	324.0  KB	15.8  KB
svchost.exe	6608	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	8712	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	3880	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	8976	Host Process for Windows Services	Microsoft Corporation	11.7  KB		2.6  KB
svchost.exe	4236	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	10324	Host Process for Windows Services	Microsoft Corporation			
svchost.exe	4792	Host Process for Windows Services	Microsoft Corporation			
