Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes,Country,City,Latitude,Longitude,AS Number,AS Organization
"18.65.244.47",589,755162,509,738736,80,16426,"","","","","",""
"18.67.110.62",374,311346,235,257270,139,54076,"","","","","",""
"20.190.122.23",31,13398,18,10328,13,3070,"","","","","",""
"23.60.149.178",19,9404,11,8254,8,1150,"","","","","",""
"35.167.191.89",36,16079,22,6015,14,10064,"","","","","",""
"35.241.39.12",207,65747,104,39717,103,26030,"","","","","",""
"44.224.210.6",40,11483,23,7034,17,4449,"","","","","",""
"44.232.193.212",40,13006,23,1698,17,11308,"","","","","",""
"52.26.247.176",29,9750,16,6057,13,3693,"","","","","",""
"54.212.37.212",11,1258,5,371,6,887,"","","","","",""
"72.154.7.109",23,5699,12,3750,11,1949,"","","","","",""
"172.172.255.216",3,170,1,60,2,110,"","","","","",""
"192.168.4.53",6,390,1,60,5,330,"","","","","",""
"192.168.20.41",6,390,1,60,5,330,"","","","","",""
"192.168.147.1",113,18290,113,18290,0,0,"","","","","",""
"192.168.147.2",25,3277,11,1994,14,1283,"","","","","",""
"192.168.147.134",1439,1216559,447,135155,992,1081404,"","","","","",""
"224.0.0.251",66,5612,0,0,66,5612,"","","","","",""
"224.0.0.252",31,2642,0,0,31,2642,"","","","","",""
"239.255.255.250",16,10036,0,0,16,10036,"","","","","",""
