Address,Port,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"4.200.105.68",443,6,399,3,237,3,162
"13.89.179.14",443,37,18406,23,6158,14,12248
"20.190.167.19",443,37,15720,22,10764,15,4956
"23.60.149.178",443,4,253,2,145,2,108
"34.212.196.47",443,64,23908,38,7303,26,16605
"35.241.39.12",443,108,21912,57,7847,51,14065
"40.99.130.162",443,55,13753,28,7767,27,5986
"44.239.209.234",443,31,12370,18,5712,13,6658
"50.112.240.30",443,25,5079,14,1633,11,3446
"52.88.191.144",443,51,14699,28,7582,23,7117
"54.213.96.7",443,28,9632,16,6057,12,3575
"72.154.7.109",443,31,6159,16,3991,15,2168
"104.119.100.74",443,23,9657,13,8399,10,1258
"123.253.149.24",443,23,9630,13,8521,10,1109
"172.172.255.216",443,2,115,1,60,1,55
"192.168.4.53",7680,6,390,1,60,5,330
"192.168.4.82",7680,12,780,2,120,10,660
"192.168.20.41",7680,6,390,1,60,5,330
"192.168.86.250",7680,6,390,1,60,5,330
"192.168.147.134",53545,2,115,1,55,1,60
"192.168.147.134",53597,16,1098,8,432,8,666
"192.168.147.134",53599,4,228,2,108,2,120
"192.168.147.134",53600,4,253,2,108,2,145
"192.168.147.134",53604,6,399,3,162,3,237
"192.168.147.134",53605,15,3876,7,2578,8,1298
"192.168.147.134",53606,15,3876,7,2578,8,1298
"192.168.147.134",53607,6,390,5,330,1,60
"192.168.147.134",53608,6,390,5,330,1,60
"192.168.147.134",53609,38,7067,18,4456,20,2611
"192.168.147.134",53610,25,5079,11,3446,14,1633
"192.168.147.134",53611,36,16103,14,10088,22,6015
"192.168.147.134",53612,23,9630,10,1109,13,8521
"192.168.147.134",53613,55,13753,27,5986,28,7767
"192.168.147.134",53614,37,15720,15,4956,22,10764
"192.168.147.134",53615,37,18406,14,12248,23,6158
"192.168.147.134",53616,28,9632,12,3575,16,6057
"192.168.147.134",53617,28,7805,12,6517,16,1288
"192.168.147.134",53618,6,390,5,330,1,60
"192.168.147.134",53619,27,5931,13,2060,14,3871
"192.168.147.134",53620,23,9657,10,1258,13,8399
"192.168.147.134",53621,24,5995,11,4021,13,1974
"192.168.147.134",53622,27,9610,12,3607,15,6003
"192.168.147.134",53623,6,390,5,330,1,60
"192.168.147.134",53624,24,5089,11,3510,13,1579
"192.168.147.134",53625,6,390,5,330,1,60
"192.168.147.134",53626,31,12370,13,6658,18,5712
