Address,Port,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"18.65.244.49",443,741,888541,602,857801,139,30740
"18.67.110.39",443,168,94318,96,70589,72,23729
"35.241.39.12",443,313,101746,159,68256,154,33490
"192.168.147.1",5353,236,20108,236,20108,0,0
"192.168.147.1",49294,2,170,2,170,0,0
"192.168.147.1",49782,2,172,2,172,0,0
"192.168.147.1",50403,2,170,2,170,0,0
"192.168.147.1",50502,2,170,2,170,0,0
"192.168.147.1",50540,2,170,2,170,0,0
"192.168.147.1",50799,2,170,2,170,0,0
"192.168.147.1",50928,2,172,2,172,0,0
"192.168.147.1",51140,2,170,2,170,0,0
"192.168.147.1",52895,2,172,2,172,0,0
"192.168.147.1",53352,2,170,2,170,0,0
"192.168.147.1",53699,2,170,2,170,0,0
"192.168.147.1",53713,2,170,2,170,0,0
"192.168.147.1",53844,2,170,2,170,0,0
"192.168.147.1",53916,2,170,2,170,0,0
"192.168.147.1",53958,2,172,2,172,0,0
"192.168.147.1",54049,2,170,2,170,0,0
"192.168.147.1",54165,2,170,2,170,0,0
"192.168.147.1",54206,2,170,2,170,0,0
"192.168.147.1",55105,2,170,2,170,0,0
"192.168.147.1",55610,2,170,2,170,0,0
"192.168.147.1",55757,2,170,2,170,0,0
"192.168.147.1",56302,2,170,2,170,0,0
"192.168.147.1",56496,2,170,2,170,0,0
"192.168.147.1",56550,2,172,2,172,0,0
"192.168.147.1",57002,2,170,2,170,0,0
"192.168.147.1",57053,2,170,2,170,0,0
"192.168.147.1",57178,2,170,2,170,0,0
"192.168.147.1",57921,2,172,2,172,0,0
"192.168.147.1",58495,2,170,2,170,0,0
"192.168.147.1",58859,2,172,2,172,0,0
"192.168.147.1",58863,2,172,2,172,0,0
"192.168.147.1",59214,2,170,2,170,0,0
"192.168.147.1",59284,2,170,2,170,0,0
"192.168.147.1",59398,2,172,2,172,0,0
"192.168.147.1",59617,2,170,2,170,0,0
"192.168.147.1",59671,2,170,2,170,0,0
"192.168.147.1",59953,2,172,2,172,0,0
"192.168.147.1",60207,2,170,2,170,0,0
"192.168.147.1",60484,2,170,2,170,0,0
"192.168.147.1",60545,2,170,2,170,0,0
"192.168.147.1",60946,2,170,2,170,0,0
"192.168.147.1",61121,2,170,2,170,0,0
"192.168.147.1",61320,2,170,2,170,0,0
"192.168.147.1",61345,14,9772,14,9772,0,0
"192.168.147.1",61493,2,172,2,172,0,0
"192.168.147.1",61687,2,170,2,170,0,0
"192.168.147.1",61840,2,170,2,170,0,0
"192.168.147.1",61935,2,170,2,170,0,0
"192.168.147.1",61973,2,170,2,170,0,0
"192.168.147.1",62713,2,170,2,170,0,0
"192.168.147.1",62722,2,170,2,170,0,0
"192.168.147.1",62871,2,170,2,170,0,0
"192.168.147.1",62878,2,172,2,172,0,0
"192.168.147.1",63104,8,656,8,656,0,0
"192.168.147.1",63109,2,264,2,264,0,0
"192.168.147.1",63126,2,170,2,170,0,0
"192.168.147.1",63665,2,170,2,170,0,0
"192.168.147.1",64088,2,170,2,170,0,0
"192.168.147.1",64228,2,170,2,170,0,0
"192.168.147.1",64539,2,170,2,170,0,0
"192.168.147.1",64699,2,170,2,170,0,0
"192.168.147.1",65058,2,170,2,170,0,0
"192.168.147.2",53,40,5240,20,3524,20,1716
"192.168.147.2",137,9,990,0,0,9,990
"192.168.147.134",68,2,700,1,358,1,342
"192.168.147.134",137,9,990,9,990,0,0
"192.168.147.134",5353,2,200,2,200,0,0
"192.168.147.134",49327,42,18126,20,7021,22,11105
"192.168.147.134",51039,168,94318,72,23729,96,70589
"192.168.147.134",51790,2,250,1,83,1,167
"192.168.147.134",51942,2,300,1,86,1,214
"192.168.147.134",52294,2,262,1,83,1,179
"192.168.147.134",52899,2,256,1,86,1,170
"192.168.147.134",53147,2,252,1,86,1,166
"192.168.147.134",54135,2,188,1,86,1,102
"192.168.147.134",55022,271,83620,134,26469,137,57151
"192.168.147.134",56420,2,300,1,86,1,214
"192.168.147.134",58120,1,75,1,75,0,0
"192.168.147.134",59531,2,188,1,86,1,102
"192.168.147.134",59652,2,250,1,83,1,167
"192.168.147.134",59691,2,252,1,86,1,166
"192.168.147.134",61574,16,2224,8,696,8,1528
"192.168.147.134",62795,2,256,1,86,1,170
"192.168.147.134",65131,741,888541,139,30740,602,857801
"192.168.147.134",65147,2,262,1,83,1,179
"192.168.147.254",67,2,700,1,342,1,358
"224.0.0.251",5353,246,20964,0,0,246,20964
"224.0.0.252",5355,119,10129,0,0,119,10129
"239.255.255.250",1900,2,264,0,0,2,264
"239.255.255.250",3702,14,9772,0,0,14,9772
"fe80::ac08:6dea:f4ee:6ad5",5353,236,24828,236,24828,0,0
"fe80::ac08:6dea:f4ee:6ad5",49294,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",49782,2,212,2,212,0,0
"fe80::ac08:6dea:f4ee:6ad5",50403,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",50502,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",50540,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",50799,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",50928,2,212,2,212,0,0
"fe80::ac08:6dea:f4ee:6ad5",51140,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",52895,2,212,2,212,0,0
"fe80::ac08:6dea:f4ee:6ad5",53352,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",53699,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",53713,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",53844,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",53916,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",53958,2,212,2,212,0,0
"fe80::ac08:6dea:f4ee:6ad5",54049,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",54165,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",54206,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",55105,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",55610,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",55757,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",56302,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",56496,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",56550,2,212,2,212,0,0
"fe80::ac08:6dea:f4ee:6ad5",57002,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",57053,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",57178,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",57921,2,212,2,212,0,0
"fe80::ac08:6dea:f4ee:6ad5",58495,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",58859,2,212,2,212,0,0
"fe80::ac08:6dea:f4ee:6ad5",58863,2,212,2,212,0,0
"fe80::ac08:6dea:f4ee:6ad5",59214,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",59284,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",59398,2,212,2,212,0,0
"fe80::ac08:6dea:f4ee:6ad5",59617,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",59671,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",59953,2,212,2,212,0,0
"fe80::ac08:6dea:f4ee:6ad5",60207,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",60484,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",60545,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",60946,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",61121,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",61320,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",61346,14,10052,14,10052,0,0
"fe80::ac08:6dea:f4ee:6ad5",61493,2,212,2,212,0,0
"fe80::ac08:6dea:f4ee:6ad5",61687,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",61840,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",61935,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",61973,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",62713,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",62722,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",62871,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",62878,2,212,2,212,0,0
"fe80::ac08:6dea:f4ee:6ad5",63126,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",63665,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",64088,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",64228,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",64539,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",64699,2,210,2,210,0,0
"fe80::ac08:6dea:f4ee:6ad5",65058,2,210,2,210,0,0
"fe80::db38:a9a8:f21f:b66c",5353,2,240,2,240,0,0
"fe80::db38:a9a8:f21f:b66c",58120,1,95,1,95,0,0
