Address,Port,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"18.65.244.55",443,1700,2152783,1451,2096974,249,55809
"18.67.110.54",443,192,115385,110,88272,82,27113
"18.239.199.59",443,23,17843,13,12537,10,5306
"35.241.39.12",443,209,73068,104,44800,105,28268
"108.158.32.114",443,19,15051,11,9822,8,5229
"192.168.147.1",5353,38,2660,38,2660,0,0
"192.168.147.1",49670,2,128,2,128,0,0
"192.168.147.1",49804,2,128,2,128,0,0
"192.168.147.1",52395,28,19544,28,19544,0,0
"192.168.147.1",52557,2,128,2,128,0,0
"192.168.147.1",57237,2,128,2,128,0,0
"192.168.147.1",58021,2,128,2,128,0,0
"192.168.147.1",58599,2,128,2,128,0,0
"192.168.147.1",61554,2,128,2,128,0,0
"192.168.147.1",62914,2,128,2,128,0,0
"192.168.147.1",63473,20,3580,20,3580,0,0
"192.168.147.1",63787,2,128,2,128,0,0
"192.168.147.1",65417,2,128,2,128,0,0
"192.168.147.2",53,94,10811,47,6957,47,3854
"192.168.147.2",137,30,3300,0,0,30,3300
"192.168.147.134",68,4,1400,2,716,2,684
"192.168.147.134",137,30,3300,30,3300,0,0
"192.168.147.134",5353,4,400,4,400,0,0
"192.168.147.134",49794,2,271,1,82,1,189
"192.168.147.134",50075,2,271,1,82,1,189
"192.168.147.134",50225,2,188,1,86,1,102
"192.168.147.134",50382,2,180,1,82,1,98
"192.168.147.134",50725,2,285,1,80,1,205
"192.168.147.134",50880,2,252,1,86,1,166
"192.168.147.134",51868,2,288,1,82,1,206
"192.168.147.134",52137,2,188,1,86,1,102
"192.168.147.134",52196,2,298,1,80,1,218
"192.168.147.134",52863,8,714,4,324,4,390
"192.168.147.134",53358,10,983,5,410,5,573
"192.168.147.134",53875,42,20157,20,7931,22,12226
"192.168.147.134",54184,14,1653,7,568,7,1085
"192.168.147.134",56015,23,17843,10,5306,13,12537
"192.168.147.134",56022,4,304,2,152,2,152
"192.168.147.134",56223,2,348,1,80,1,268
"192.168.147.134",56965,4,304,2,152,2,152
"192.168.147.134",57187,2,188,1,86,1,102
"192.168.147.134",57456,2,245,1,82,1,163
"192.168.147.134",57586,2,188,1,86,1,102
"192.168.147.134",58819,2,304,1,92,1,212
"192.168.147.134",59104,2,245,1,79,1,166
"192.168.147.134",59426,1,75,1,75,0,0
"192.168.147.134",59465,2,252,1,86,1,166
"192.168.147.134",60107,2,285,1,82,1,203
"192.168.147.134",60313,19,15051,8,5229,11,9822
"192.168.147.134",60411,2,253,1,83,1,170
"192.168.147.134",60608,1,75,1,75,0,0
"192.168.147.134",60960,2,252,1,86,1,166
"192.168.147.134",61434,1700,2152783,249,55809,1451,2096974
"192.168.147.134",62013,2,267,1,86,1,181
"192.168.147.134",62041,2,222,1,79,1,143
"192.168.147.134",62398,2,267,1,80,1,187
"192.168.147.134",63926,192,115385,82,27113,110,88272
"192.168.147.134",64395,167,52911,85,20337,82,32574
"192.168.147.134",64577,2,230,1,83,1,147
"192.168.147.134",64878,2,348,1,80,1,268
"192.168.147.134",64979,2,298,1,80,1,218
"192.168.147.134",65231,2,252,1,86,1,166
"192.168.147.134",65428,2,188,1,86,1,102
"192.168.147.254",67,4,1400,2,684,2,716
"224.0.0.251",5353,42,3060,0,0,42,3060
"224.0.0.252",5355,22,1430,0,0,22,1430
"239.255.255.250",1900,20,3580,0,0,20,3580
"239.255.255.250",3702,28,19544,0,0,28,19544
"fe80::ac08:6dea:f4ee:6ad5",5353,38,3420,38,3420,0,0
"fe80::ac08:6dea:f4ee:6ad5",49670,2,168,2,168,0,0
"fe80::ac08:6dea:f4ee:6ad5",49804,2,168,2,168,0,0
"fe80::ac08:6dea:f4ee:6ad5",52396,28,20104,28,20104,0,0
"fe80::ac08:6dea:f4ee:6ad5",52557,2,168,2,168,0,0
"fe80::ac08:6dea:f4ee:6ad5",57237,2,168,2,168,0,0
"fe80::ac08:6dea:f4ee:6ad5",58021,2,168,2,168,0,0
"fe80::ac08:6dea:f4ee:6ad5",58599,2,168,2,168,0,0
"fe80::ac08:6dea:f4ee:6ad5",61554,2,168,2,168,0,0
"fe80::ac08:6dea:f4ee:6ad5",62914,2,168,2,168,0,0
"fe80::ac08:6dea:f4ee:6ad5",63787,2,168,2,168,0,0
"fe80::ac08:6dea:f4ee:6ad5",65417,2,168,2,168,0,0
"fe80::db38:a9a8:f21f:b66c",5353,4,480,4,480,0,0
"fe80::db38:a9a8:f21f:b66c",59426,1,95,1,95,0,0
"fe80::db38:a9a8:f21f:b66c",60608,1,95,1,95,0,0
"ff02::1:3",5355,22,1870,0,0,22,1870
"ff02::c",3702,28,20104,0,0,28,20104
"ff02::fb",5353,42,3900,0,0,42,3900
