Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"00:0c:29:e9:d5:e3",3520,3667922,861,159687,2659,3508235
"00:50:56:c0:00:08",76,21080,76,21080,0,0
"00:50:56:e5:56:f1",3501,3665850,2658,3507893,843,157957
"00:50:56:f0:fe:43",3,760,2,402,1,358
"01:00:5e:00:00:16",5,270,0,0,5,270
"01:00:5e:00:00:fb",18,1320,0,0,18,1320
"01:00:5e:00:00:fc",9,587,0,0,9,587
"01:00:5e:7f:ff:fa",12,8376,0,0,12,8376
"33:33:00:00:00:0c",12,8616,0,0,12,8616
"33:33:00:00:00:16",5,450,0,0,5,450
"33:33:00:00:00:fb",18,1680,0,0,18,1680
"33:33:00:01:00:03",9,767,0,0,9,767
"33:33:ff:c5:26:3b",4,344,0,0,4,344
"ff:ff:ff:ff:ff:ff",2,102,0,0,2,102
