Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes,Country,City,Latitude,Longitude,AS Number,AS Organization
"13.70.178.62",37,13791,20,10505,17,3286,"","","","","",""
"13.107.5.93",33,18975,21,17005,12,1970,"","","","","",""
"20.4.130.154",63,19220,36,14720,27,4500,"","","","","",""
"20.44.229.112",34,17128,21,11314,13,5814,"","","","","",""
"20.189.173.28",40,19428,26,6363,14,13065,"","","","","",""
"23.216.63.114",22,9538,13,8483,9,1055,"","","","","",""
"40.119.249.228",130,36472,74,26142,56,10330,"","","","","",""
"40.126.14.163",38,31930,28,24007,10,7923,"","","","","",""
"52.98.128.34",68,16680,35,8861,33,7819,"","","","","",""
"52.123.129.14",87,52768,54,45211,33,7557,"","","","","",""
"52.167.17.97",127,33268,72,25714,55,7554,"","","","","",""
"52.182.143.208",27,10229,15,7856,12,2373,"","","","","",""
"68.218.189.9",6,366,3,180,3,186,"","","","","",""
"89.42.218.88",20,2378,10,1526,10,852,"","","","","",""
"104.208.16.90",33,12753,18,8077,15,4676,"","","","","",""
"149.210.234.234",112,41957,66,37919,46,4038,"","","","","",""
"150.171.22.17",25,5085,14,1722,11,3363,"","","","","",""
"172.172.255.218",11,837,5,467,6,370,"","","","","",""
"184.84.150.56",70,25826,40,15854,30,9972,"","","","","",""
"192.168.0.47",26,1686,5,300,21,1386,"","","","","",""
"192.168.0.191",12,780,2,120,10,660,"","","","","",""
"192.168.1.112",8,516,2,120,6,396,"","","","","",""
"192.168.4.55",18,1170,3,180,15,990,"","","","","",""
"192.168.4.82",17,1110,2,120,15,990,"","","","","",""
"192.168.20.4",18,1140,8,480,10,660,"","","","","",""
"192.168.86.47",18,1170,3,180,15,990,"","","","","",""
"192.168.147.1",50,12220,50,12220,0,0,"","","","","",""
"192.168.147.2",60,7273,22,3719,38,3554,"","","","","",""
"192.168.147.134",1170,384719,551,107232,619,277487,"","","","","",""
"224.0.0.251",26,1880,0,0,26,1880,"","","","","",""
"224.0.0.252",13,843,0,0,13,843,"","","","","",""
"239.255.255.250",14,9772,0,0,14,9772,"","","","","",""
