Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"00:0c:29:e9:d5:e3",889,264539,428,76448,461,188091
"00:50:56:c0:00:08",164,48320,164,48320,0,0
"00:50:56:e5:56:f1",872,262587,462,187869,410,74718
"00:50:56:f0:fe:43",4,802,2,402,2,400
"01:00:5e:00:00:16",5,270,0,0,5,270
"01:00:5e:00:00:fb",42,3096,0,0,42,3096
"01:00:5e:00:00:fc",17,1099,0,0,17,1099
"01:00:5e:7f:ff:fa",32,20072,0,0,32,20072
"33:33:00:00:00:0c",28,20104,0,0,28,20104
"33:33:00:00:00:16",5,450,0,0,5,450
"33:33:00:00:00:fb",34,3120,0,0,34,3120
"33:33:00:01:00:03",17,1439,0,0,17,1439
"ff:ff:ff:ff:ff:ff",3,180,0,0,3,180
