Address,Port,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"20.4.130.154",443,126,38446,72,29446,54,9000
"20.42.65.90",443,29,11253,16,7917,13,3336
"20.50.80.210",443,28,10478,15,7857,13,2621
"20.189.173.5",443,33,16015,21,5934,12,10081
"20.189.173.6",443,30,12542,18,5760,12,6782
"20.190.167.150",443,42,18731,26,12435,16,6296
"20.227.97.55",443,37,13798,21,10565,16,3233
"23.216.63.122",443,22,9497,13,8442,9,1055
"40.99.129.130",443,143,30089,73,13479,70,16610
"72.154.7.109",443,25,5854,14,3901,11,1953
"89.42.218.88",80,40,4756,20,3052,20,1704
"89.42.218.88",443,20,6731,11,5389,9,1342
"104.98.252.15",443,24,11040,14,9782,10,1258
"149.210.234.234",3333,158,66439,94,61318,64,5121
"172.172.255.218",443,16,1554,8,977,8,577
"192.168.0.47",7680,6,390,1,60,5,330
"192.168.0.191",7680,6,390,1,60,5,330
"192.168.1.112",7680,6,390,1,60,5,330
"192.168.4.82",7680,6,390,1,60,5,330
"192.168.86.47",7680,6,390,1,60,5,330
"192.168.147.134",50767,11,890,6,427,5,463
"192.168.147.134",50783,5,664,2,150,3,514
"192.168.147.134",50815,158,66439,64,5121,94,61318
"192.168.147.134",50946,6,390,5,330,1,60
"192.168.147.134",50947,42,18731,16,6296,26,12435
"192.168.147.134",50948,6,390,5,330,1,60
"192.168.147.134",50949,21,6408,9,1500,12,4908
"192.168.147.134",50950,6,390,5,330,1,60
"192.168.147.134",50951,6,390,5,330,1,60
"192.168.147.134",50952,6,390,5,330,1,60
"192.168.147.134",50953,10,1189,5,426,5,763
"192.168.147.134",50954,10,1189,5,426,5,763
"192.168.147.134",50955,20,6731,9,1342,11,5389
"192.168.147.134",50956,29,11253,13,3336,16,7917
"192.168.147.134",50957,21,6407,9,1500,12,4907
"192.168.147.134",50958,49,12654,23,5143,26,7511
"192.168.147.134",50959,30,5471,15,3576,15,1895
"192.168.147.134",50960,37,13798,16,3233,21,10565
"192.168.147.134",50961,21,6408,9,1500,12,4908
"192.168.147.134",50962,38,6721,19,4423,19,2298
"192.168.147.134",50963,33,16015,12,10081,21,5934
"192.168.147.134",50964,30,12542,12,6782,18,5760
"192.168.147.134",50965,21,6406,9,1500,12,4906
"192.168.147.134",50966,25,5854,11,1953,14,3901
"192.168.147.134",50967,24,11040,10,1258,14,9782
"192.168.147.134",50968,10,1189,5,426,5,763
"192.168.147.134",50969,10,1189,5,426,5,763
"192.168.147.134",50970,28,10478,13,2621,15,7857
"192.168.147.134",50971,21,6408,9,1500,12,4908
"192.168.147.134",50972,22,9497,9,1055,13,8442
"192.168.147.134",50973,21,6409,9,1500,12,4909
"192.168.147.134",50974,26,5243,13,3468,13,1775
