Address,Port,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"192.168.147.1",5353,16,1120,16,1120,0,0
"192.168.147.1",50084,4,328,4,328,0,0
"192.168.147.1",50089,2,264,2,264,0,0
"192.168.147.1",51002,14,9772,14,9772,0,0
"192.168.147.1",54707,2,128,2,128,0,0
"192.168.147.1",55688,2,128,2,128,0,0
"192.168.147.1",58232,2,128,2,128,0,0
"192.168.147.1",62323,2,128,2,128,0,0
"192.168.147.2",53,22,2141,11,1231,11,910
"192.168.147.2",137,15,1650,0,0,15,1650
"192.168.147.134",137,15,1650,15,1650,0,0
"192.168.147.134",52235,2,186,1,85,1,101
"192.168.147.134",55615,16,1651,8,673,8,978
"192.168.147.134",61132,4,304,2,152,2,152
"224.0.0.251",5353,20,1448,0,0,20,1448
"224.0.0.252",5355,8,512,0,0,8,512
"239.255.255.250",1900,2,264,0,0,2,264
"239.255.255.250",3702,14,9772,0,0,14,9772
"fe80::ac08:6dea:f4ee:6ad5",5353,16,1440,16,1440,0,0
"fe80::ac08:6dea:f4ee:6ad5",51003,14,10052,14,10052,0,0
"fe80::ac08:6dea:f4ee:6ad5",54707,2,168,2,168,0,0
"fe80::ac08:6dea:f4ee:6ad5",55688,2,168,2,168,0,0
"fe80::ac08:6dea:f4ee:6ad5",58232,2,168,2,168,0,0
"fe80::ac08:6dea:f4ee:6ad5",62323,2,168,2,168,0,0
"ff02::1:3",5355,8,672,0,0,8,672
"ff02::c",3702,14,10052,0,0,14,10052
"ff02::fb",5353,16,1440,0,0,16,1440
