Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes,Country,City,Latitude,Longitude,AS Number,AS Organization
"20.190.167.66",30,15056,15,10283,15,4773,"","","","","",""
"52.137.106.217",25,7223,12,5041,13,2182,"","","","","",""
"52.182.143.214",29,12165,15,5578,14,6587,"","","","","",""
"91.108.56.160",838,569179,526,499268,312,69911,"","","","","",""
"100.74.128.1",15,1650,15,1650,0,0,"","","","","",""
"146.75.70.172",19,2547,10,1197,9,1350,"","","","","",""
"149.154.167.43",16,2325,6,634,10,1691,"","","","","",""
"149.154.167.91",194,170190,147,160742,47,9448,"","","","","",""
"149.154.167.151",2819,2503864,1978,2432032,841,71832,"","","","","",""
"149.154.175.50",31,3476,11,954,20,2522,"","","","","",""
"149.154.175.53",289,202937,170,188548,119,14389,"","","","","",""
"172.28.48.1",55,23217,49,22719,6,498,"","","","","",""
"172.28.58.189",4339,3494230,1425,186492,2914,3307738,"","","","","",""
"172.172.255.218",7,676,3,357,4,319,"","","","","",""
"192.168.1.120",5,330,0,0,5,330,"","","","","",""
"192.168.1.125",5,330,0,0,5,330,"","","","","",""
"192.168.1.128",5,330,0,0,5,330,"","","","","",""
"224.0.0.251",8,656,0,0,8,656,"","","","","",""
"239.255.255.250",35,20609,0,0,35,20609,"","","","","",""
