Address,Port,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"172.28.48.1",53,70,13058,35,10249,35,2809
"172.28.48.1",56277,8,656,8,656,0,0
"172.28.48.1",56284,4,528,4,528,0,0
"172.28.48.1",62342,28,19544,28,19544,0,0
"172.28.58.189",138,2,486,2,486,0,0
"172.28.58.189",49416,4,300,2,150,2,150
"172.28.58.189",51105,6,1090,3,253,3,837
"172.28.58.189",52677,2,300,1,79,1,221
"172.28.58.189",54124,2,503,1,79,1,424
"172.28.58.189",55047,2,570,1,88,1,482
"172.28.58.189",55425,2,503,1,79,1,424
"172.28.58.189",56546,2,442,1,79,1,363
"172.28.58.189",56583,2,503,1,79,1,424
"172.28.58.189",57512,2,442,1,79,1,363
"172.28.58.189",57668,2,503,1,79,1,424
"172.28.58.189",60141,2,442,1,79,1,363
"172.28.58.189",61264,6,1298,3,232,3,1066
"172.28.58.189",61322,2,193,1,79,1,114
"172.28.58.189",61535,2,509,1,88,1,421
"172.28.58.189",62116,2,442,1,79,1,363
"172.28.58.189",62285,22,3295,11,866,11,2429
"172.28.58.189",63726,2,418,1,92,1,326
"172.28.58.189",63761,2,442,1,79,1,363
"172.28.58.189",64557,2,360,1,92,1,268
"172.28.58.189",65255,2,503,1,79,1,424
"172.28.63.255",138,2,486,0,0,2,486
"224.0.0.251",5353,8,656,0,0,8,656
"239.255.255.250",1900,4,528,0,0,4,528
"239.255.255.250",3702,28,19544,0,0,28,19544
"fe80::2684:10da:dbd:2b6f",62343,28,20104,28,20104,0,0
"ff02::c",3702,28,20104,0,0,28,20104
