Address,Port,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"23.60.148.23",443,40,20168,25,15498,15,4670
"23.214.90.131",443,16,8611,7,816,9,7795
"23.220.77.11",443,44,16668,24,10184,20,6484
"104.98.3.80",443,45,21604,22,8292,23,13312
"123.253.149.73",443,37,16936,22,12235,15,4701
"123.253.149.90",443,55,30652,32,23960,23,6692
"142.250.70.206",443,32,18524,17,11022,15,7502
"142.250.70.227",443,34,18812,18,10841,16,7971
"172.28.48.1",53,268,51138,135,40289,133,10849
"172.28.48.1",52857,9,1611,9,1611,0,0
"172.28.48.1",53966,105,73290,105,73290,0,0
"172.28.48.1",59198,36,2952,36,2952,0,0
"172.28.48.1",59205,18,2376,18,2376,0,0
"172.28.48.1",62342,42,29316,42,29316,0,0
"172.28.58.189",138,5,1215,5,1215,0,0
"172.28.58.189",49744,2,442,1,79,1,363
"172.28.58.189",49766,16,1302,8,603,8,699
"172.28.58.189",49807,2,442,1,79,1,363
"172.28.58.189",50015,6,1055,3,285,3,770
"172.28.58.189",50037,2,291,1,87,1,204
"172.28.58.189",50284,2,356,1,78,1,278
"172.28.58.189",50633,2,442,1,79,1,363
"172.28.58.189",50849,37,16936,15,4701,22,12235
"172.28.58.189",51063,40,20168,15,4670,25,15498
"172.28.58.189",51322,4,888,2,148,2,740
"172.28.58.189",51493,2,345,1,79,1,266
"172.28.58.189",51720,2,466,1,81,1,385
"172.28.58.189",52095,2,503,1,79,1,424
"172.28.58.189",52483,2,442,1,79,1,363
"172.28.58.189",52489,2,442,1,79,1,363
"172.28.58.189",52523,4,832,2,144,2,688
"172.28.58.189",52600,2,442,1,79,1,363
"172.28.58.189",52825,2,442,1,79,1,363
"172.28.58.189",53020,2,503,1,79,1,424
"172.28.58.189",53279,2,503,1,81,1,422
"172.28.58.189",53360,2,503,1,79,1,424
"172.28.58.189",53724,2,395,1,71,1,324
"172.28.58.189",54143,56,11945,28,2414,28,9531
"172.28.58.189",54460,4,494,2,194,2,300
"172.28.58.189",54515,4,495,1,81,3,414
"172.28.58.189",54893,2,228,1,78,1,150
"172.28.58.189",54938,2,503,1,79,1,424
"172.28.58.189",55364,2,247,1,79,1,168
"172.28.58.189",55429,45,21604,23,13312,22,8292
"172.28.58.189",55840,6,1292,3,264,3,1028
"172.28.58.189",55908,2,503,1,79,1,424
"172.28.58.189",56142,2,193,1,79,1,114
"172.28.58.189",56231,10,2218,5,372,5,1846
"172.28.58.189",56546,4,874,2,162,2,712
"172.28.58.189",57171,2,503,1,79,1,424
"172.28.58.189",57248,2,300,1,79,1,221
"172.28.58.189",57735,2,512,1,72,1,440
"172.28.58.189",57878,44,16668,20,6484,24,10184
"172.28.58.189",57960,2,503,1,79,1,424
"172.28.58.189",58087,2,503,1,79,1,424
"172.28.58.189",58404,55,30652,23,6692,32,23960
"172.28.58.189",58863,16,8611,9,7795,7,816
"172.28.58.189",58949,2,292,1,79,1,213
"172.28.58.189",59050,2,342,1,72,1,270
"172.28.58.189",59152,4,866,2,182,2,684
"172.28.58.189",59173,2,337,1,71,1,266
"172.28.58.189",59883,2,275,1,71,1,204
"172.28.58.189",60011,2,356,1,79,1,277
"172.28.58.189",60065,2,442,1,79,1,363
"172.28.58.189",60180,2,503,1,79,1,424
"172.28.58.189",60444,34,18812,16,7971,18,10841
"172.28.58.189",60744,2,342,1,72,1,270
"172.28.58.189",60782,2,211,1,79,1,132
"172.28.58.189",61117,6,976,3,261,3,715
"172.28.58.189",61573,4,861,2,150,2,711
"172.28.58.189",61670,2,503,1,79,1,424
"172.28.58.189",61881,2,448,1,72,1,376
"172.28.58.189",62001,2,442,1,79,1,363
"172.28.58.189",62032,4,826,2,186,2,640
"172.28.58.189",62099,2,503,1,79,1,424
"172.28.58.189",62216,32,18524,15,7502,17,11022
"172.28.58.189",62934,2,442,1,79,1,363
"172.28.58.189",62966,2,199,1,81,1,118
"172.28.58.189",63115,2,356,1,78,1,278
"172.28.58.189",63222,2,391,1,74,1,317
"172.28.58.189",63495,2,444,1,74,1,370
"172.28.58.189",63838,2,509,1,88,1,421
"172.28.58.189",63869,2,237,1,87,1,150
"172.28.58.189",64089,2,442,1,79,1,363
"172.28.58.189",64105,3,537,3,537,0,0
"172.28.58.189",64363,28,5193,14,1187,14,4006
"172.28.58.189",64710,6,594,3,215,3,379
"172.28.58.189",64733,2,228,1,78,1,150
"172.28.58.189",65105,2,303,1,78,1,225
"172.28.58.189",65154,2,356,1,78,1,278
"172.28.58.189",65259,2,570,1,88,1,482
"172.28.63.255",138,5,1215,0,0,5,1215
"224.0.0.251",5353,36,2952,0,0,36,2952
"239.255.255.250",1900,30,4524,0,0,30,4524
"239.255.255.250",3702,147,102606,0,0,147,102606
"fe80::2684:10da:dbd:2b6f",53967,105,75390,105,75390,0,0
"fe80::2684:10da:dbd:2b6f",62343,42,30156,42,30156,0,0
"ff02::c",3702,147,105546,0,0,147,105546
