Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes,Country,City,Latitude,Longitude,AS Number,AS Organization
"13.107.5.93",33,14860,21,12199,12,2661,"","","","","",""
"13.107.246.32",74,68780,49,64071,25,4709,"","","","","",""
"20.44.10.122",192,204023,124,15656,68,188367,"","","","","",""
"20.189.173.14",21,18228,12,5843,9,12385,"","","","","",""
"20.189.173.26",28,27189,16,6085,12,21104,"","","","","",""
"123.253.149.16",43486,43930562,28472,42971585,15014,958977,"","","","","",""
"123.253.149.51",426,352341,265,324874,161,27467,"","","","","",""
"150.171.73.16",4112,4275230,2891,4189553,1221,85677,"","","","","",""
"172.28.48.1",76,14532,41,11454,35,3078,"","","","","",""
"172.28.58.189",51074,51497859,17467,1363258,33607,50134601,"","","","","",""
"172.172.255.216",2,121,1,66,1,55,"","","","","",""
"184.28.9.100",15,5732,8,4390,7,1342,"","","","","",""
"185.199.108.133",2615,2586853,1713,2529417,902,57436,"","","","","",""
"224.0.0.251",4,328,0,0,4,328,"","","","","",""
"239.255.255.250",2,264,0,0,2,264,"","","","","",""
