Address,Port,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"13.107.5.93",443,33,14860,21,12199,12,2661
"13.107.246.32",443,74,68780,49,64071,25,4709
"20.44.10.122",443,192,204023,124,15656,68,188367
"20.189.173.14",443,21,18228,12,5843,9,12385
"20.189.173.26",443,28,27189,16,6085,12,21104
"123.253.149.16",443,43486,43930562,28472,42971585,15014,958977
"123.253.149.51",443,426,352341,265,324874,161,27467
"150.171.73.16",443,4112,4275230,2891,4189553,1221,85677
"172.28.58.189",51888,2,121,1,55,1,66
"172.28.58.189",52007,23,12450,8,2904,15,9546
"172.28.58.189",52008,3954,4197199,1161,68662,2793,4128537
"172.28.58.189",52009,23,12386,8,2840,15,9546
"172.28.58.189",52010,59,44970,23,3876,36,41094
"172.28.58.189",52011,43,30643,17,3512,26,27131
"172.28.58.189",52012,192,204023,68,188367,124,15656
"172.28.58.189",52013,30,15693,14,3414,16,12279
"172.28.58.189",52014,100,88285,36,4606,64,83679
"172.28.58.189",52015,70,58687,27,4118,43,54569
"172.28.58.189",52016,116,108370,40,5634,76,102736
"172.28.58.189",52017,70,58654,27,4085,43,54569
"172.28.58.189",52018,45,28101,18,5747,27,22354
"172.28.58.189",52019,25,10244,13,3277,12,6967
"172.28.58.189",52020,9607,9619986,3379,214714,6228,9405272
"172.28.58.189",52021,62,26601,26,5343,36,21258
"172.28.58.189",52022,26,14026,9,2906,17,11120
"172.28.58.189",52023,24,12568,9,3022,15,9546
"172.28.58.189",52024,19,9888,8,2243,11,7645
"172.28.58.189",52025,2596,2576965,894,55193,1702,2521772
"172.28.58.189",52026,21904,22687074,7175,421279,14729,22265795
"172.28.58.189",52027,8041,7963597,2892,192074,5149,7771523
"172.28.58.189",52028,3802,3568599,1514,120108,2288,3448491
"172.28.58.189",52029,15,5732,7,1342,8,4390
"172.28.58.189",52030,33,14860,12,2661,21,12199
"172.28.58.189",52031,28,27189,12,21104,16,6085
"172.28.58.189",52032,21,18228,9,12385,12,5843
"172.28.58.189",52036,74,68780,25,4709,49,64071
"172.172.255.216",443,2,121,1,66,1,55
"184.28.9.100",80,15,5732,8,4390,7,1342
"185.199.108.133",443,2615,2586853,1713,2529417,902,57436
