Process	PID	Description	Company Name	I/O Read Bytes	I/O Write Bytes	I/O Other Bytes
WmiApSrv.exe	8148	WMI Performance Reverse Adapter	Microsoft Corporation	6.3  KB		1.4  KB
winlogon.exe	736	Windows Logon Application	Microsoft Corporation	249.4  KB	160 B	217.2  KB
wininit.exe	672			36.0  KB		4.0  KB
WidgetService.exe	6864	WidgetService.exe	Microsoft Corporation	17.5  KB	1.6  KB	22.8  KB
Widgets.exe	5896		Microsoft Corporation	3.2  MB	56.0  MB	3.3  MB
VBoxTray.exe	1212	VirtualBox Guest Additions Tray Application	Oracle and/or its affiliates	488.8  KB	120.6  KB	10.1  MB
VBoxService.exe	1664	VirtualBox Guest Additions Service	Oracle and/or its affiliates	120.6  KB	482.5  KB	43.7  MB
TextInputHost.exe	7340		Microsoft Corporation	27.9  KB		88.1  KB
taskhostw.exe	4384	Host Process for Windows Tasks	Microsoft Corporation			19.8  KB
System Idle Process	0					
System	4			13.1  MB	380.3  MB	1.1  MB
sysgau.exe	3348			340.5  MB	168.8  MB	175.7  MB
svchost.exe	952	Host Process for Windows Services	Microsoft Corporation	82.0  MB	2.0  MB	3.2  MB
svchost.exe	416	Host Process for Windows Services	Microsoft Corporation	41.5  KB		645.4  KB
svchost.exe	576	Host Process for Windows Services	Microsoft Corporation			2.8  KB
svchost.exe	1144	Host Process for Windows Services	Microsoft Corporation			23.6  KB
svchost.exe	1156	Host Process for Windows Services	Microsoft Corporation			892 B
svchost.exe	1188	Host Process for Windows Services	Microsoft Corporation			1.3  KB
svchost.exe	1288	Host Process for Windows Services	Microsoft Corporation	6 B	22.1  MB	1.3  MB
svchost.exe	1344	Host Process for Windows Services	Microsoft Corporation	201.0  KB		80.9  KB
svchost.exe	1408	Host Process for Windows Services	Microsoft Corporation			441.8  KB
svchost.exe	1416	Host Process for Windows Services	Microsoft Corporation			2.3  KB
svchost.exe	1448	Host Process for Windows Services	Microsoft Corporation			3.4  KB
svchost.exe	1516	Host Process for Windows Services	Microsoft Corporation	116 B	160 B	7.1  MB
svchost.exe	1752	Host Process for Windows Services	Microsoft Corporation	167.1  MB	85.4  MB	7.5  KB
svchost.exe	1868	Host Process for Windows Services	Microsoft Corporation	754 B		1012 B
svchost.exe	1876	Host Process for Windows Services	Microsoft Corporation	108.2  MB	98.8  MB	751.7  MB
svchost.exe	1892	Host Process for Windows Services	Microsoft Corporation			172 B
svchost.exe	1912	Host Process for Windows Services	Microsoft Corporation			51.4  KB
svchost.exe	1932	Host Process for Windows Services	Microsoft Corporation	824 B		15.2  MB
svchost.exe	2024	Host Process for Windows Services	Microsoft Corporation	6.0  KB		7.9  KB
svchost.exe	2060	Host Process for Windows Services	Microsoft Corporation			9.0  KB
svchost.exe	2068	Host Process for Windows Services	Microsoft Corporation			207.8  KB
svchost.exe	2100	Host Process for Windows Services	Microsoft Corporation			61.7  KB
svchost.exe	2224	Host Process for Windows Services	Microsoft Corporation			22.1  KB
svchost.exe	2264	Host Process for Windows Services	Microsoft Corporation			4.9  MB
svchost.exe	2312	Host Process for Windows Services	Microsoft Corporation			2.4  KB
svchost.exe	2384	Host Process for Windows Services	Microsoft Corporation	109.5  MB	418.8  KB	35.5  KB
svchost.exe	2396	Host Process for Windows Services	Microsoft Corporation			145.7  KB
svchost.exe	2404	Host Process for Windows Services	Microsoft Corporation			121.1  KB
svchost.exe	2512	Host Process for Windows Services	Microsoft Corporation	1.5  MB		237.2  KB
svchost.exe	2704	Host Process for Windows Services	Microsoft Corporation	116 B	32.2  KB	2.3  MB
svchost.exe	2748	Host Process for Windows Services	Microsoft Corporation	85.0  KB	139.9  KB	31.0  KB
svchost.exe	2840	Host Process for Windows Services	Microsoft Corporation	5.3  MB	112.4  KB	794.3  KB
svchost.exe	2848	Host Process for Windows Services	Microsoft Corporation	82.5  MB	39.5  MB	8.2  MB
svchost.exe	2856	Host Process for Windows Services	Microsoft Corporation	71.4  MB	157.4  MB	13.0  MB
svchost.exe	2968	Host Process for Windows Services	Microsoft Corporation	116 B	160 B	28.6  KB
svchost.exe	2052	Host Process for Windows Services	Microsoft Corporation	166.0  KB	322.4  KB	27.2  KB
svchost.exe	3264	Host Process for Windows Services	Microsoft Corporation	22.0  KB		3.4  KB
svchost.exe	3272	Host Process for Windows Services	Microsoft Corporation	1.2  MB	7.9  MB	150.0  KB
svchost.exe	3284	Host Process for Windows Services	Microsoft Corporation			220 B
svchost.exe	3324	Host Process for Windows Services	Microsoft Corporation	116.2  MB	2.3  MB	121.7  KB
svchost.exe	4884	Host Process for Windows Services	Microsoft Corporation			370.2  KB
svchost.exe	4340	Host Process for Windows Services	Microsoft Corporation			1.6  KB
svchost.exe	3404	Host Process for Windows Services	Microsoft Corporation	978.5  KB	525.1  KB	150.7  KB
svchost.exe	2368	Host Process for Windows Services	Microsoft Corporation			1.0  KB
svchost.exe	4512	Host Process for Windows Services	Microsoft Corporation	9.7  MB	230.9  MB	36.7  KB
svchost.exe	2996	Host Process for Windows Services	Microsoft Corporation	31.9  KB		2.6  MB
svchost.exe	4920	Host Process for Windows Services	Microsoft Corporation	24.2  KB	40.0  KB	73.0  KB
svchost.exe	5148	Host Process for Windows Services	Microsoft Corporation	13.3  KB		144.3  KB
svchost.exe	5192	Host Process for Windows Services	Microsoft Corporation	1.1  MB	136.0  KB	125.1  KB
svchost.exe	5256	Host Process for Windows Services	Microsoft Corporation	5.5  MB	2.8  MB	59.0  KB
svchost.exe	5856	Host Process for Windows Services	Microsoft Corporation	49.4  KB		11.7  KB
svchost.exe	5752	Host Process for Windows Services	Microsoft Corporation	413.3  KB	19.8  KB	333.9  KB
svchost.exe	2456	Host Process for Windows Services	Microsoft Corporation	9.8  KB		6.1  KB
svchost.exe	3660	Host Process for Windows Services	Microsoft Corporation	13.1  MB	87.6  KB	1.3  MB
svchost.exe	4244	Host Process for Windows Services	Microsoft Corporation	525.6  KB		315.1  KB
svchost.exe	8324	Host Process for Windows Services	Microsoft Corporation	3.4  MB	1.3  KB	350.5  KB
svchost.exe	8716	Host Process for Windows Services	Microsoft Corporation	121.6  KB		477.8  KB
svchost.exe	7912	Host Process for Windows Services	Microsoft Corporation	505.0  KB	128.0  KB	188.4  KB
svchost.exe	9016	Host Process for Windows Services	Microsoft Corporation	13.2  MB	524.0  KB	15.7  KB
svchost.exe	7892	Host Process for Windows Services	Microsoft Corporation	5.7  KB	160 B	3.3  KB
svchost.exe	9884			6.1  KB		3.7  KB
svchost.exe	1328	Host Process for Windows Services	Microsoft Corporation	639.1  KB	120.0  KB	8.8  KB
svchost.exe	5348	Host Process for Windows Services	Microsoft Corporation	5.7  KB		232.3  KB
svchost.exe	6060	Host Process for Windows Services	Microsoft Corporation	6.7  KB		8.0  KB
svchost.exe	10688			180.4  MB	220.2  MB	302.4  MB
svchost.exe	12036	Host Process for Windows Services	Microsoft Corporation		360 B	2.5  KB
svchost.exe	7272	Host Process for Windows Services	Microsoft Corporation	3.9  KB		1.0  KB
svchost.exe	6076	Host Process for Windows Services	Microsoft Corporation	208 B	276 B	2.2  KB
svchost.exe	13144			233.9  KB		7.2  KB
svchost.exe	1084	Host Process for Windows Services	Microsoft Corporation	4.5  KB		2.1  KB
svchost.exe	2372	Host Process for Windows Services	Microsoft Corporation	4.9  KB		2.3  KB
StartMenuExperienceHost.exe	5636	Windows Start Experience Host	Microsoft Corporation	4.3  MB	401.4  KB	165.7  KB
spoolsv.exe	2664	Spooler SubSystem App	Microsoft Corporation	232 B	320 B	93.0  KB
snmp.exe	3128	SNMP Service	Microsoft Corporation	320.3  KB		7.4  MB
SnippingTool.exe	9980			230.5  KB		146.7  KB
smss.exe	428			13.0  KB	24.2  KB	43.7  KB
sihost.exe	2956	Shell Infrastructure Host	Microsoft Corporation	290.7  KB		2.0  MB
ShellHost.exe	4336	ShellHost	Microsoft Corporation	512 B		9.4  KB
ShellExperienceHost.exe	14196	Windows Shell Experience Host	Microsoft Corporation	45.1  KB		13.0  KB
services.exe	808			513.1  KB	160 B	629.9  KB
SecurityHealthSystray.exe	4760	Windows Security notification icon	Microsoft Corporation	7.9  KB		3.5  KB
SecurityHealthService.exe	7664			2.1  MB	101.8  KB	2.9  MB
SearchIndexer.exe	7188	Microsoft Windows Search Indexer	Microsoft Corporation	1.2  GB	6.4  MB	19.1  MB
SearchHost.exe	5644		Microsoft Corporation	6.4  MB	2.2  MB	422.0  KB
RuntimeBroker.exe	5780	Runtime Broker	Microsoft Corporation	1.1  MB	20.1  KB	246.2  KB
RuntimeBroker.exe	5872	Runtime Broker	Microsoft Corporation	798.6  KB	8 B	125.4  KB
RuntimeBroker.exe	9148	Runtime Broker	Microsoft Corporation	8.3  KB		3.0  KB
RuntimeBroker.exe	10968	Runtime Broker	Microsoft Corporation	124.8  KB		29.1  KB
